Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0010,2019-04-01,VTEXB,DEL,AMD,10029,13824,62500,52346,6750,62891,59096,2855,66000,56241,0,0,113,78,33,2,3,8657,1372,1386,0,0,0,42317,2,4,0,0,1,D
AI0010,2019-04-02,VTEXE,DEL,AMD,9242,19112,62500,51710,7050,68630,58760,3006,66000,55754,0,0,100,67,27,6,0,7478,1764,1593,171,0,0,42468,2,4,0,0,2,D
AI0010,2019-04-03,VTEXB,DEL,AMD,6736,10831,62500,49053,6950,60098,56003,2814,66000,53189,0,0,72,58,12,2,0,5470,1266,902,364,0,0,42317,2,4,0,0,0,D
AI0010,2019-04-04,VTPPK,DEL,AMD,10948,15077,71500,60217,8600,72946,68817,3580,75500,65237,0,4,117,94,25,2,1,9253,1695,1569,163,0,0,49269,2,5,0,0,0,D
AI0010,2019-04-05,VTEXA,DEL,AMD,8980,12611,62500,51294,7250,62175,58544,2877,66000,55667,0,0,98,71,22,5,1,7371,1609,1281,328,0,0,42314,2,4,0,0,2,D
AI0010,2019-04-06,VTEXB,DEL,AMD,6492,17784,62500,48809,7450,67551,56259,3167,66000,53092,0,0,74,57,12,5,1,5523,969,962,7,0,0,42317,2,4,0,0,0,D
AI0010,2019-04-07,VTEXA,DEL,AMD,14921,18780,62500,57235,7550,68644,64785,3209,66000,61576,0,0,168,144,22,2,2,12540,2381,,,,,42314,2,4,0,0,1,D
AI0010,2019-04-08,VTEXB,DEL,AMD,8159,12771,62500,50476,7050,62138,57526,2955,66000,54571,0,0,95,77,17,1,1,7095,1064,1064,0,0,0,42317,2,4,0,0,0,D
AI0010,2019-04-09,VTEXA,DEL,AMD,7304,12611,62500,49618,7550,62475,57168,2951,66000,54217,0,0,83,70,10,3,2,6300,1004,1000,4,0,0,42314,2,4,0,0,2,D
AI0010,2019-04-10,VTEXA,DEL,AMD,8520,13527,62500,50834,7150,62991,57984,2971,66000,55013,0,0,99,78,16,5,1,7448,1072,901,171,0,0,42314,2,4,0,0,1,D
AI0010,2019-04-11,VTEXB,DEL,AMD,12552,17262,62500,54869,7350,66929,62219,3046,66000,59173,0,0,143,111,28,4,0,10565,1987,1824,173,0,0,42317,2,4,0,0,1,D
AI0010,2019-04-12,VTEXB,DEL,AMD,6472,10262,62500,48789,7050,59629,55839,2877,66000,52962,0,0,75,54,16,5,0,5425,1047,715,192,0,0,42317,2,4,0,0,5,D
AI0010,2019-04-13,VTPPV,DEL,AMD,8829,13119,71500,58040,9400,71730,67440,3547,75500,63893,0,2,99,77,20,4,1,7425,1404,1233,171,0,0,49211,2,5,0,0,0,D
AI0010,2019-04-14,VTEXB,DEL,AMD,16025,18412,62500,58342,7850,68579,66192,3135,66000,63057,0,0,174,131,42,1,0,13010,3015,2058,990,0,0,42317,2,4,0,0,2,D
AI0010,2019-04-15,VTEXA,DEL,AMD,12760,16787,62500,55074,7450,66551,62524,3145,66000,59379,0,0,150,122,25,3,2,11150,1610,1531,79,0,0,42314,2,4,0,0,0,D
AI0010,2019-04-16,N/A,DEL,AMD,,,,,,,,,,,0,0,139,114,23,2,0,,,1657,,,,,,,0,0,3,D
