Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0014,2019-04-15,,AMD,DEL,,,,,,,,,,,0,0,172,119,46,7,1,,,,,,,,,,0,0,0,D
AI0014,2019-04-15,VTEXB,AMD,DEL,16942.0,19364.0,62500.0,59259.0,7350.0,69031.0,66609.0,3031.0,66000.0,63578.0,0,0,0,0,0,0,0,12630.0,4312.0,4312.0,0.0,0.0,0.0,42317.0,2.0,4.0,0,0,0,D
AI0023,2019-04-12,,CCU,DEL,,,,,,,,,,,0,10,140,117,31,2,2,,,,,,,,,,0,1,3,D
AI0023,2019-04-12,VTEXJ,CCU,DEL,13747.0,18080.0,64300.0,58534.0,8850.0,71717.0,67384.0,4317.0,67400.0,63067.0,0,0,0,0,0,0,0,11190.0,2557.0,1750.0,879.0,0.0,0.0,44787.0,2.0,4.0,0,0,0,D
AI0050,2019-04-12,,BOM,HYD,,,,,,,,,,,0,5,149,119,28,7,0,,,,,,,,,,0,0,2,D
AI0050,2019-04-12,VTCIG,BOM,HYD,12568.0,14882.0,64300.0,57403.0,6550.0,66267.0,63953.0,2257.0,67400.0,61696.0,0,0,0,0,0,0,0,11270.0,1298.0,1298.0,0.0,0.0,0.0,44835.0,2.0,4.0,0,0,0,D
AI0055,2019-04-22,,COK,BOM,,,,,,,,,,,0,8,124,85,39,8,1,,,,,,,,,,0,6,10,D
AI0055,2019-04-22,VTEXP,COK,BOM,12278.0,14246.0,64300.0,56932.0,10500.0,69400.0,67432.0,4026.0,67400.0,63406.0,0,0,0,0,0,0,0,9590.0,2688.0,1913.0,775.0,0.0,0.0,44654.0,2.0,4.0,0,0,0,D
AI0091,2019-04-09,,BOM,AMD,,,,,,,,,,,0,8,97,77,22,6,4,,,,,,,,,,0,0,0,D
AI0091,2019-04-09,VTPPJ,BOM,AMD,10011.0,11623.0,71500.0,59290.0,7400.0,68302.0,66690.0,2543.0,75500.0,64147.0,0,0,0,0,0,0,0,7903.0,2108.0,2108.0,0.0,0.0,0.0,49279.0,2.0,5.0,0,0,0,D
AI0091,2019-04-14,,BOM,AMD,,,,,,,,,,,0,10,168,117,52,9,1,,,,,,,,,,0,1,0,D
AI0091,2019-04-14,VTPPH,BOM,AMD,15927.0,20224.0,71500.0,65136.0,8600.0,78033.0,73736.0,2729.0,75500.0,71007.0,0,0,0,0,0,0,0,13000.0,2927.0,2927.0,0.0,0.0,0.0,49209.0,2.0,5.0,0,0,0,D
AI0093,2019-04-27,,MAA,BOM,,,,,,,,,,,0,2,123,87,32,6,1,,,,,,,,,,0,0,6,D
AI0093,2019-04-27,VTEXU,MAA,BOM,12023.0,13334.0,64300.0,56824.0,8100.0,66235.0,64924.0,3534.0,67400.0,61390.0,0,0,2,1,1,0,0,10270.0,1753.0,1843.0,0.0,0.0,0.0,44801.0,2.0,4.0,0,0,2,D
AI0094,2019-04-09,,BOM,MAA,,,,,,,,,,,0,8,115,105,18,0,0,,,,,,,,,,0,0,5,D
AI0094,2019-04-09,VTSCL,BOM,MAA,10308.0,12325.0,57000.0,52161.0,9350.0,63528.0,61511.0,3877.0,61000.0,57634.0,0,0,0,0,0,0,0,9225.0,1083.0,1083.0,0.0,0.0,0.0,41853.0,2.0,4.0,0,0,0,D
AI0094,2019-04-22,,BOM,MAA,,,,,,,,,,,0,12,138,111,32,7,0,,,,,,,,,,0,1,5,D
AI0094,2019-04-22,VTCID,BOM,MAA,14549.0,16924.0,64300.0,59349.0,6850.0,68574.0,66199.0,3552.0,67400.0,62647.0,0,0,0,0,0,0,0,10970.0,3579.0,1761.0,1818.0,0.0,0.0,44800.0,2.0,4.0,0,0,0,D
AI0101,2019-04-03,,BOM,DEL,,,,,,,,,,,0,8,102,90,20,0,0,,,,,,,,,,0,0,9,D
AI0101,2019-04-03,VTPPB,BOM,DEL,10654.0,12602.0,71500.0,59956.0,9600.0,71504.0,69556.0,4844.0,75500.0,64712.0,0,0,0,0,0,0,0,9009.0,1421.0,1365.0,280.0,0.0,0.0,49302.0,2.0,5.0,0,0,0,D
AI0102,2019-04-15,,JFK,DEL,,,,,,,,,,,2,27,193,172,37,13,2,,,,,,,,,,0,0,3,I
AI0102,2019-04-15,VTALK,JFK,DEL,34923.0,43203.0,237682.0,210454.0,132800.0,351534.0,343254.0,119100.0,251290.0,224154.0,0,0,2,1,1,0,0,16787.0,18136.0,7112.0,10068.0,0.0,0.0,175531.0,4.0,15.0,0,0,0,I
AI0102,2019-04-16,,JFK,DEL,,,,,,,,,,,0,24,158,145,31,6,3,,,,,,,,,,0,1,2,I
