Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0010,2019-04-16,,DEL,AMD,,,,,,,,,,,0,0,139,114,23,2,0,,,1657.0,,,,,,,0,0,3,D
AI0013,2019-04-06,,DEL,AMD,,,,,,,,,,,0,0,88,65,21,2,0,,,1349.0,,,,,,,0,0,1,D
AI0014,2019-04-02,,AMD,DEL,,,,,,,,,,,0,1,175,118,53,5,1,,,5127.0,,,,,,,0,1,0,D
AI0014,2019-04-03,,AMD,DEL,,,,,,,,,,,0,0,174,122,49,3,5,,,4393.0,,,,,,,0,0,0,D
AI0014,2019-04-27,,AMD,DEL,,,,,,,,,,,0,0,176,125,45,6,0,,,3252.0,,,,,,,0,0,0,D
AI0016,2019-04-08,,DEL,ATQ,,,,,,,,,,,0,3,152,97,48,10,3,,,2357.0,,,,,,,0,0,0,D
AI0018,2019-04-29,,AMD,DEL,,,,,,,,,,,0,7,170,119,46,12,1,,,2127.0,,,,,,,0,0,0,D
AI0019,2019-04-06,,DEL,AMD,,,,,,,,,,,0,1,159,127,27,6,0,,,2396.0,,,,,,,0,0,0,D
AI0019,2019-04-14,,DEL,AMD,,,,,,,,,,,0,8,170,156,20,2,1,,,2718.0,,,,,,,0,0,0,D
AI0019,2019-04-15,,DEL,AMD,,,,,,,,,,,0,12,168,138,41,1,0,,,2727.0,,,,,,,0,0,0,D
AI0019,2019-04-24,,DEL,AMD,,,,,,,,,,,0,3,169,151,20,1,1,,,2023.0,,,,,,,0,0,1,D
AI0019,2019-04-30,,DEL,AMD,,,,,,,,,,,0,2,165,138,29,0,3,,,2257.0,,,,,,,0,0,0,D
AI0021,2019-04-04,,CCU,DEL,,,,,,,,,,,0,11,196,145,52,10,0,,,2527.0,,,,,,,0,1,2,D
