Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0010,2019-04-01,VTEXB,DEL,AMD,10029.0,13824.0,62500.0,52346.0,6750.0,62891.0,59096.0,2855.0,66000.0,56241.0,0,0,113,78,33,2,3,8657.0,1372.0,1386.0,0.0,0.0,0.0,42317.0,2.0,4.0,0,0,1,D
AI0010,2019-04-02,VTEXE,DEL,AMD,9242.0,19112.0,62500.0,51710.0,7050.0,68630.0,58760.0,3006.0,66000.0,55754.0,0,0,100,67,27,6,0,7478.0,1764.0,1593.0,171.0,0.0,0.0,42468.0,2.0,4.0,0,0,2,D
AI0010,2019-04-03,VTEXB,DEL,AMD,6736.0,10831.0,62500.0,49053.0,6950.0,60098.0,56003.0,2814.0,66000.0,53189.0,0,0,72,58,12,2,0,5470.0,1266.0,902.0,364.0,0.0,0.0,42317.0,2.0,4.0,0,0,0,D
AI0010,2019-04-04,VTPPK,DEL,AMD,10948.0,15077.0,71500.0,60217.0,8600.0,72946.0,68817.0,3580.0,75500.0,65237.0,0,4,117,94,25,2,1,9253.0,1695.0,1569.0,163.0,0.0,0.0,49269.0,2.0,5.0,0,0,0,D
AI0010,2019-04-05,VTEXA,DEL,AMD,8980.0,12611.0,62500.0,51294.0,7250.0,62175.0,58544.0,2877.0,66000.0,55667.0,0,0,98,71,22,5,1,7371.0,1609.0,1281.0,328.0,0.0,0.0,42314.0,2.0,4.0,0,0,2,D
AI0010,2019-04-06,VTEXB,DEL,AMD,6492.0,17784.0,62500.0,48809.0,7450.0,67551.0,56259.0,3167.0,66000.0,53092.0,0,0,74,57,12,5,1,5523.0,969.0,962.0,7.0,0.0,0.0,42317.0,2.0,4.0,0,0,0,D
AI0010,2019-04-07,VTEXA,DEL,AMD,14921.0,18780.0,62500.0,57235.0,7550.0,68644.0,64785.0,3209.0,66000.0,61576.0,0,0,168,144,22,2,2,12540.0,2381.0,,,,,42314.0,2.0,4.0,0,0,1,D
AI0010,2019-04-08,VTEXB,DEL,AMD,8159.0,12771.0,62500.0,50476.0,7050.0,62138.0,57526.0,2955.0,66000.0,54571.0,0,0,95,77,17,1,1,7095.0,1064.0,1064.0,0.0,0.0,0.0,42317.0,2.0,4.0,0,0,0,D
AI0010,2019-04-09,VTEXA,DEL,AMD,7304.0,12611.0,62500.0,49618.0,7550.0,62475.0,57168.0,2951.0,66000.0,54217.0,0,0,83,70,10,3,2,6300.0,1004.0,1000.0,4.0,0.0,0.0,42314.0,2.0,4.0,0,0,2,D
AI0010,2019-04-10,VTEXA,DEL,AMD,8520.0,13527.0,62500.0,50834.0,7150.0,62991.0,57984.0,2971.0,66000.0,55013.0,0,0,99,78,16,5,1,7448.0,1072.0,901.0,171.0,0.0,0.0,42314.0,2.0,4.0,0,0,1,D
