City_Pair,Dep_Stn,Arr_Stn,Total_Kilometers
AAN-CCJ,AAN,CCJ,2597
AGR-DEL,AGR,DEL,177
AGX-BLR,AGX,BLR,640
AGX-COK,AGX,COK,456
AJL-CCU,AJL,CCU,453
AJL-GAU,AJL,GAU,287
AJL-IMF,AJL,IMF,166
AMD-BOM,AMD,BOM,442
AMD-CCJ,AMD,CCJ,1367
AMD-DEL,AMD,DEL,757
AMD-HYD,AMD,HYD,870
AMD-JED,AMD,JED,3444
AMD-KWI,AMD,KWI,2553
AMD-LKO,AMD,LKO,928
AMD-PNQ,AMD,PNQ,515
AMD-RAJ,AMD,RAJ,209
AMD-SHJ,AMD,SHJ,1756
AMD-UDR,AMD,UDR,214
ATQ-DEL,ATQ,DEL,413
ATQ-DXB,ATQ,DXB,2031
ATQ-SHJ,ATQ,SHJ,2012
AUH-BAH,AUH,BAH,452
AUH-BOM,AUH,BOM,1973
AUH-CCJ,AUH,CCJ,2690
AUH-COK,AUH,COK,2797
AUH-DEL,AUH,DEL,2283
AUH-DXB,AUH,DXB,115
AUH-MCT,AUH,MCT,381
AUH-TRV,AUH,TRV,2954
AUH-TRZ,AUH,TRZ,2960
BAH-AUH,BAH,AUH,452
BAH-BOM,BAH,BOM,2415
BAH-CCJ,BAH,CCJ,3142
BAH-COK,BAH,COK,3248
BAH-DEL,BAH,DEL,2626
BAH-DOH,BAH,DOH,145
BAH-IXE,BAH,IXE,2931
BAH-TRV,BAH,TRV,3404
BBI-BLR,BBI,BLR,1191
BBI-BOM,BBI,BOM,1364
BBI-CCU,BBI,CCU,382
BBI-DEL,BBI,DEL,1276
BBI-IXZ,BBI,IXZ,1202
BBI-MAA,BBI,MAA,1001
BBI-RPR,BBI,RPR,438
BBI-VTZ,BBI,VTZ,391
BDQ-DEL,BDQ,DEL,794
BHO-AMD,BHO,AMD,482
BHO-DEL,BHO,DEL,586
BHO-IDR,BHO,IDR,169
BKK-BOM,BKK,BOM,3034
BLR-AGX,BLR,AGX,640
BLR-AMD,BLR,AMD,1217
BLR-BOM,BLR,BOM,851
BLR-CCU,BLR,CCU,1567
BLR-COK,BLR,COK,367
BLR-DEL,BLR,DEL,1730
BLR-GOI,BLR,GOI,493
BLR-HYD,BLR,HYD,505
