Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
9I0505,1/7/2019,VTAIZ,BLR,COK,4438,7058,21000,18380,2000,23000,20380,725,22350,19655,0,0,53,38,15,0,0,4081,357,357,0,0,0,13942,2,3,0,0,0,D
9I0505,1/7/2019,VTAIZ,COK,AGX,3346,6168,21000,17278,2900,23000,20178,755,22350,19423,0,0,36,28,8,0,2,2792,554,413,0,141,0,13932,2,3,0,0,0,D
9I0505,2/7/2019,VTAIY,BLR,COK,4985,6717,21000,19268,2000,23000,21268,725,22350,20543,0,0,61,48,13,0,0,4575,410,410,0,0,0,14283,3,3,0,0,1,D
9I0505,2/7/2019,VTAIY,COK,AGX,1181,5917,21000,15464,2800,23000,18264,753,22350,17511,0,0,12,10,2,0,0,900,281,129,107,45,0,14283,3,3,0,0,0,D
9I0505,3/7/2019,VTAIY,BLR,COK,4120,6887,21000,18233,2000,23000,20233,725,22350,19508,0,0,51,37,12,2,1,3905,190,215,0,0,0,14113,2,3,0,0,0,D
9I0505,3/7/2019,VTAIY,COK,AGX,2622,6002,21000,16820,2800,23000,19620,755,22350,18865,0,0,27,15,11,1,0,2135,487,371,94,22,0,14198,2,3,0,0,0,D
9I0505,4/7/2019,VTRKC,BLR,COK,5014,7220,21000,18794,2000,23000,20794,725,22350,20069,0,0,63,47,15,1,2,4705,309,309,0,0,0,13780,2,3,0,0,0,D
9I0505,4/7/2019,VTRKC,COK,AGX,3081,6335,21000,16946,2800,23000,19746,753,22350,18993,0,0,32,23,9,0,3,2430,651,353,203,95,0,13865,2,3,0,0,0,D
9I0505,5/7/2019,VTRKC,BLR,COK,5776,7220,21000,19556,2000,23000,21556,725,22350,20831,0,0,69,49,20,0,1,5323,453,453,0,0,0,13780,2,3,0,0,0,D
9I0505,5/7/2019,VTRKC,COK,AGX,2671,6335,21000,16536,2800,23000,19336,753,22350,18583,0,0,28,22,5,1,1,2129,542,273,129,141,0,13865,2,3,0,0,3,D
9I0505,6/7/2019,VTRKL,BLR,COK,5257,7134,21000,19123,2000,23000,21123,725,22350,20398,0,0,61,44,17,0,0,4725,512,532,0,0,0,13866,2,3,0,0,0,D
9I0505,6/7/2019,VTRKL,COK,AGX,1630,6334,21000,15496,2800,23000,18296,755,22350,17541,0,0,17,15,2,0,0,1425,205,180,6,19,0,13866,2,3,0,0,1,D
9I0505,7/7/2019,VTRKL,BLR,COK,4305,7134,21000,18171,2000,23000,20171,725,22350,19446,0,0,53,36,14,3,0,3970,334,334,1,0,0,13866,2,3,0,0,1,D
9I0505,7/7/2019,VTRKL,COK,AGX,1565,6234,21000,15431,2900,23000,18331,755,22350,17576,0,0,16,12,4,0,0,1232,333,128,204,7,0,13866,2,3,0,0,0,D
9I0505,8/7/2019,VTRKL,BLR,COK,4091,7134,21000,17957,2000,23000,19957,725,22350,19232,0,0,48,35,13,0,0,3850,214,241,0,0,0,13866,2,3,0,0,1,D
9I0505,8/7/2019,VTRKL,COK,AGX,1259,6434,21000,15125,2700,23000,17825,753,22350,17072,0,0,9,6,3,0,0,847,412,151,171,90,0,13866,2,3,0,0,0,D
9I0505,9/7/2019,VTRKL,BLR,COK,5003,7219,21000,18784,2000,23000,20784,725,22350,20059,0,0,64,52,10,2,0,4720,212,212,71,0,0,13781,2,3,0,0,0,D
9I0505,9/7/2019,VTRKL,COK,AGX,2879,6334,21000,16745,2800,23000,19545,753,22350,18792,0,0,28,21,7,0,0,2100,779,250,482,47,0,13866,2,3,0,0,0,D
9I0505,10/7/2019,VTRKL,BLR,COK,4144,7219,21000,17925,2000,23000,19925,725,22350,19200,0,0,51,39,12,0,0,3825,319,319,0,0,0,13781,2,3,0,0,0,D
9I0505,10/7/2019,VTRKL,COK,AGX,2670,6319,21000,16451,2900,23000,19351,800,22350,18551,0,0,31,20,9,2,1,2255,415,345,8,62,0,13781,2,3,0,0,0,D
9I0505,11/7/2019,VTRKL,BLR,COK,5220,7219,21000,19001,2000,23000,21001,725,22350,20276,0,0,67,53,9,5,1,4835,385,385,0,0,0,13781,2,3,0,0,0,D
9I0505,11/7/2019,VTRKL,COK,AGX,3276,6434,21000,17142,2700,23000,19842,753,22350,19089,0,0,36,23,13,0,0,2700,576,334,187,55,0,13866,2,3,0,0,0,D
9I0505,12/7/2019,VTRKL,BLR,COK,4944,7219,21000,18725,1900,23000,20625,725,22350,19900,0,0,60,38,21,1,1,4545,390,399,0,0,0,13781,2,3,0,0,0,D
9I0505,12/7/2019,VTRKL,COK,AGX,2692,6234,21000,16558,2900,23000,19458,800,22350,18658,0,0,28,17,11,0,0,2175,517,235,203,79,0,13866,2,3,0,0,0,D
9I0505,13/07/2019,VTRKL,BLR,COK,4006,7219,21000,17787,2000,23000,19787,725,22350,19062,0,0,47,32,15,0,0,3696,298,310,0,0,0,13781,2,3,0,0,0,D
9I0505,13/07/2019,VTRKL,COK,AGX,2686,6234,21000,16552,2900,23000,19452,800,22350,18652,0,0,27,16,10,1,1,2127,559,306,204,49,0,13866,2,3,0,0,0,D
9I0505,14/07/2019,VTRKL,BLR,COK,3887,7134,21000,17753,2000,23000,19753,725,22350,19028,0,0,48,30,17,1,0,3659,228,228,0,0,0,13866,2,3,0,0,1,D
9I0505,14/07/2019,VTRKL,COK,AGX,1785,6234,21000,15651,2900,23000,18551,800,22350,17751,0,0,19,15,4,0,0,1463,322,221,87,14,0,13866,2,3,0,0,0,D
9I0505,15/07/2019,VTRKL,BLR,COK,3708,7134,21000,17574,1900,23000,19474,725,22350,18749,0,0,45,36,9,0,1,3475,233,233,0,0,0,13866,2,3,0,0,0,D
9I0505,15/07/2019,VTRKL,COK,AGX,3854,6134,21000,17720,3000,23000,20720,753,22350,19967,0,0,41,31,10,0,2,3177,677,451,55,171,0,13866,2,3,0,0,0,D
9I0505,16/07/2019,VTRKL,BLR,COK,4958,7134,21000,18824,2000,23000,20824,725,22350,20099,0,0,62,43,18,1,1,4620,338,338,0,0,0,13866,2,3,0,0,1,D
9I0505,16/07/2019,VTRKL,COK,AGX,4297,6134,21000,18163,3000,23000,21163,800,22350,20363,0,0,49,43,5,1,1,3645,652,513,102,37,0,13866,2,3,0,0,1,D
9I0505,17/07/2019,VTRKL,BLR,COK,3376,7134,21000,17242,2000,23000,19242,725,22350,18517,0,0,41,28,12,1,1,3120,248,256,0,0,0,13866,2,3,0,0,0,D
