Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0010,2019-06-01,N/A,DEL,AMD,,,,,,,,,,,0,12,150,107,47,8,0,,,2577,,,,,,,0,0,2,D
AI0010,2019-06-02,VTEXE,DEL,AMD,16946,19163,62500,59414,7450,69081,66864,3150,66000,63714,0,0,181,113,55,13,1,13065,3881,3597,284,0,0,42468,2,4,0,0,1,D
AI0010,2019-06-03,VTCID,DEL,AMD,13871,16578,64300,58671,6850,68228,65521,2753,67400,62768,0,9,148,93,51,13,2,11275,2596,2596,0,0,0,44800,2,4,0,3,0,D
AI0010,2019-06-04,VTPPB,DEL,AMD,15681,19238,71500,64983,9800,78340,74783,3833,75500,70950,0,1,169,123,40,7,0,12470,3211,3210,1,0,0,49302,2,5,0,0,4,D
AI0010,2019-06-05,VTEXE,DEL,AMD,15115,18234,62500,57583,7950,68652,65533,3192,66000,62341,0,0,171,124,32,15,4,12225,2890,2888,2,0,0,42468,2,4,0,0,6,D
AI0010,2019-06-06,VTPPB,DEL,AMD,13576,18272,71500,62923,9800,77419,72723,3946,75500,68777,0,4,144,103,37,8,0,10780,2796,2766,0,0,30,49347,2,5,0,0,2,D
AI0010,2019-06-07,VTPPD,DEL,AMD,16229,19343,71500,65558,10000,78672,75558,4042,75500,71516,0,3,170,116,48,9,2,12595,3634,3632,2,0,0,49329,2,5,0,0,3,D
AI0010,2019-06-08,VTEXA,DEL,AMD,16402,18265,62500,58716,8250,68829,66966,3312,66000,63654,0,0,166,111,49,6,1,12220,4182,3112,1070,0,0,42314,2,4,0,0,2,D
AI0010,2019-06-09,VTEXA,DEL,AMD,16412,18131,62500,58726,8650,69095,67376,3280,66000,64096,0,0,180,121,50,9,1,13150,3262,2976,286,0,0,42314,2,4,0,0,3,D
AI0010,2019-06-10,VTEXD,DEL,AMD,14216,17384,62500,56627,8150,67945,64777,3129,66000,61648,0,0,163,118,39,6,0,11985,2231,2230,1,0,0,42411,2,4,0,0,1,D
AI0010,2019-06-11,VTCIF,DEL,AMD,15533,16705,64300,60347,6950,68469,67297,2752,67400,64545,0,12,150,111,41,10,0,11750,3783,3782,1,0,0,44814,2,4,0,0,2,D
AI0010,2019-06-12,VTEXA,DEL,AMD,15536,16558,62500,57850,9850,68722,67700,3223,66000,64477,0,0,171,115,42,14,3,12295,3241,3236,5,0,0,42314,2,4,0,0,0,D
AI0010,2019-06-13,VTEXD,DEL,AMD,16399,16702,62500,58810,9850,68963,68660,3229,66000,65431,0,0,177,127,42,8,2,12975,3424,3310,114,0,0,42411,2,4,0,0,3,D
AI0010,2019-06-14,VTEXD,DEL,AMD,16969,17278,62500,59380,9050,68739,68430,3139,66000,65291,0,0,180,123,50,7,3,13250,3719,3719,0,0,0,42411,2,4,0,0,1,D
AI0010,2019-06-15,VTPPT,DEL,AMD,15230,19630,71500,64402,9500,78302,73902,3849,75500,70053,0,0,162,109,45,8,0,11830,3400,3082,318,0,0,49172,2,5,0,0,0,D
AI0010,2019-06-16,VTEXD,DEL,AMD,16510,19022,62500,58921,7450,68883,66371,3117,66000,63254,0,0,180,151,26,3,0,13380,3130,2642,488,0,0,42411,2,4,0,0,1,D
AI0010,2019-06-17,VTPPB,DEL,AMD,15182,17838,71500,64484,11500,78640,75984,3849,75500,72135,0,1,162,109,45,9,3,11895,3287,2058,1229,0,0,49302,2,5,0,1,0,D
AI0010,2019-06-18,VTEXD,DEL,AMD,13138,17298,62500,55549,9250,68959,64799,3261,66000,61538,0,0,143,97,39,7,2,10465,2673,2600,73,0,0,42411,2,4,0,0,0,D
AI0010,2019-06-19,VTPPG,DEL,AMD,10542,11943,71500,59905,10800,72106,70705,3559,75500,67146,0,0,113,83,26,4,1,8325,2217,2127,90,0,0,49363,2,5,0,0,1,D
AI0010,2019-06-20,VTEXE,DEL,AMD,14487,16639,62500,57050,9150,68352,66200,3174,66000,63026,0,0,159,126,28,5,3,11755,2732,2619,113,0,0,42563,2,5,0,0,1,D
AI0010,2019-06-21,VTEXE,DEL,AMD,10896,12688,62500,53364,7250,62406,60614,2938,66000,57676,0,0,118,76,37,5,2,8670,2226,2226,0,0,0,42468,2,4,0,0,1,D
AI0010,2019-06-22,VTEXD,DEL,AMD,14364,18682,62500,56870,7550,68738,64420,3194,66000,61226,0,0,154,104,42,8,1,11240,3124,3012,112,0,0,42506,2,5,0,0,0,D
