Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0048,2019-06-22,,COK,TRV,,,,,,,,,,,0,0,25,18,6,1,0,,,,,,,,,,0,0,0,D
AI0048,2019-06-22,VTPPE,COK,TRV,7211.0,20672.0,71500.0,56620.0,7000.0,77100.0,63620.0,1581.0,75500.0,62039.0,0,0,0,0,0,0,0,5920.0,1291.0,1022.0,209.0,0.0,0.0,49409.0,2.0,5.0,0,0,0,D
AI0050,2019-06-27,,BOM,HYD,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,D
AI0050,2019-06-27,VTSCV,BOM,HYD,4027.0,4306.0,57000.0,46063.0,7950.0,54292.0,54013.0,2704.0,61000.0,51309.0,0,0,0,0,0,0,0,3485.0,542.0,,,,,42036.0,3.0,4.0,0,0,0,D
AI0051,2019-06-06,,HYD,BOM,,,,,,,,,,,0,7,97,82,19,3,0,,,,,,,,,,0,0,2,D
AI0051,2019-06-06,VTSCH,HYD,BOM,9738.0,10916.0,57000.0,51664.0,9650.0,62492.0,61314.0,2850.0,61000.0,58464.0,0,0,0,0,0,0,0,7680.0,2058.0,1714.0,344.0,0.0,0.0,41926.0,2.0,4.0,0,0,0,D
AI0102,2019-06-23,,JFK,DEL,,,,,,,,,,,3,28,312,230,82,31,3,,,,,,,,,,0,0,9,I
AI0102,2019-06-23,VTALS,JFK,DEL,42414.0,45673.0,237682.0,217575.0,130700.0,351534.0,348275.0,119600.0,251290.0,228675.0,0,0,3,3,0,0,0,25488.0,16926.0,11618.0,4060.0,0.0,0.0,175161.0,4.0,15.0,0,0,3,I
AI0120,2019-06-23,,FRA,DEL,,,,,,,,,,,0,18,233,164,75,12,5,,,,,,,,,,0,1,2,I
AI0120,2019-06-23,VTANT,FRA,DEL,29683.0,41297.0,161025.0,149411.0,47500.0,219054.0,196911.0,39817.0,172365.0,157094.0,0,0,0,0,0,0,0,18933.0,10750.0,5348.0,4622.0,0.0,0.0,119728.0,2.0,8.0,0,0,0,I
