Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0048,2019-06-22,VTPPE,COK,TRV,7211,20672,71500,56620,7000,77100,63620,1581,75500,62039,0,0,0,0,0,0,0,5920,1291,1022.0,209.0,0.0,0.0,49409,2,5,0,0,0,D
AI0050,2019-06-27,VTSCV,BOM,HYD,4027,4306,57000,46063,7950,54292,54013,2704,61000,51309,0,0,0,0,0,0,0,3485,542,,,,,42036,3,4,0,0,0,D
AI0051,2019-06-06,VTSCH,HYD,BOM,9738,10916,57000,51664,9650,62492,61314,2850,61000,58464,0,0,0,0,0,0,0,7680,2058,1714.0,344.0,0.0,0.0,41926,2,4,0,0,0,D
AI0102,2019-06-23,VTALS,JFK,DEL,42414,45673,237682,217575,130700,351534,348275,119600,251290,228675,0,0,3,3,0,0,0,25488,16926,11618.0,4060.0,0.0,0.0,175161,4,15,0,0,3,I
AI0120,2019-06-23,VTANT,FRA,DEL,29683,41297,161025,149411,47500,219054,196911,39817,172365,157094,0,0,0,0,0,0,0,18933,10750,5348.0,4622.0,0.0,0.0,119728,2,8,0,0,0,I
AI0126,2019-06-13,VTALQ,ORD,DEL,34724,34867,237682,209691,141700,351534,351391,128600,251290,222791,0,0,0,0,0,0,0,21447,10612,10144.0,2041.0,0.0,0.0,174967,4,15,0,0,0,I
AI0126,2019-06-27,VTALS,ORD,DEL,35908,40073,237682,211069,136300,351534,347369,123300,251290,224069,0,0,0,0,0,0,0,22837,11586,10240.0,,,,175161,4,15,0,0,0,I
AI0130,2019-06-18,VTALQ,LHR,BOM,47372,63446,237682,221608,87000,324993,308608,73700,251290,234908,0,0,0,0,0,0,0,24965,22407,10205.0,10333.0,124.0,0.0,174236,2,10,0,0,0,I
AI0138,2019-06-18,VTANS,MXP,DEL,34787,41232,161025,154580,50400,215476,204980,43111,172365,161869,0,0,0,0,0,0,0,18458,16329,6985.0,8542.0,0.0,0.0,119793,2,8,0,0,0,I
AI0138,2019-06-22,VTANP,MXP,DEL,36347,40910,161025,156462,47400,212582,203862,40200,172365,163662,0,0,2,2,0,0,0,18952,17395,5635.0,10882.0,0.0,0.0,120115,2,8,0,0,2,I
AI0142,2019-06-21,VTANG,CDG,DEL,31447,38657,161025,153815,49700,215151,203515,42700,172365,160815,0,0,5,5,0,0,0,18857,11168,5940.0,5848.0,0.0,0.0,122368,4,9,0,0,5,I
AI0143,2019-06-25,VTANR,DEL,CDG,26862,41130,161025,146757,54600,220191,201357,47900,172365,153457,0,0,0,0,0,0,0,13008,13854,3232.0,0.0,0.0,0.0,119895,4,8,0,0,0,D
AI0144,2019-06-03,VTALX,EWR,BOM,39280,44550,237682,213630,131600,350500,345230,118800,251290,226430,0,0,0,0,0,0,0,25656,12534,11024.0,1274.0,0.0,0.0,174350,4,15,0,0,0,I
AI0158,2019-06-04,VTANQ,CPH,DEL,26613,41313,161025,146325,48500,213537,194825,41172,172365,153653,0,0,0,0,0,0,0,17659,8954,,2428.0,0.0,0.0,119712,2,8,0,0,0,I
AI0158,2019-06-06,VTANL,CPH,DEL,22248,40367,161025,142906,48500,213025,191406,40700,172365,150706,0,0,0,0,0,0,0,14591,7657,,2418.0,0.0,0.0,120658,2,8,0,0,0,I
AI0158,2019-06-07,VTANT,CPH,DEL,24900,41297,161025,144628,48100,213624,192728,41259,172365,151469,0,0,0,0,0,0,0,14897,10003,,4238.0,0.0,705.0,119728,2,8,0,0,0,I
AI0158,2019-06-08,VTANU,CPH,DEL,31252,41683,161025,150594,49600,215124,200194,42800,172365,157394,0,0,0,0,0,0,0,14190,17062,,11393.0,0.0,0.0,119342,2,8,0,0,0,I
AI0158,2019-06-11,VTNAC,CPH,DEL,23898,41288,161025,143635,48500,213000,192135,41072,172365,151063,0,0,2,0,0,0,0,17092,6806,,468.0,0.0,0.0,119737,2,8,0,0,0,I
AI0158,2019-06-13,VTANY,CPH,DEL,26102,41217,161025,145910,54000,218049,199910,45700,172365,154210,0,1,0,0,0,0,0,14878,11224,,4905.0,0.0,745.0,119808,2,8,0,0,0,I
AI0158,2019-06-14,VTNAA,CPH,DEL,23210,39701,161025,143009,48500,208000,191509,41000,172365,150509,0,0,0,0,0,0,0,15947,7263,,1488.0,0.0,0.0,119799,2,8,0,0,0,I
AI0158,2019-06-15,VTANC,CPH,DEL,30213,39199,161025,152039,53000,215939,205039,43600,172365,161439,0,0,27,0,0,0,0,14427,15786,,10473.0,0.0,0.0,121826,2,8,0,0,0,I
AI0158,2019-06-27,VTANH,CPH,DEL,34022,39956,161025,155091,47500,212087,202591,39722,172365,162869,0,17,104,0,0,0,0,18151,15871,,9028.0,0.0,0.0,121069,2,8,0,0,2,I
AI0168,2019-06-05,VTANK,ARN,DEL,27549,40527,161025,148047,47700,213109,195747,40800,172365,154947,0,0,1,0,0,0,0,15499,12050,,6449.0,0.0,0.0,120498,2,8,0,0,0,I
AI0168,2019-06-07,VTANQ,ARN,DEL,20539,41313,161025,140251,46500,211873,186751,39508,172365,147243,0,0,0,0,0,0,0,14006,6533,,924.0,0.0,0.0,119712,2,8,0,0,0,I
AI0168,2019-06-14,VTANX,ARN,DEL,27119,41423,161025,146721,51500,216062,198221,43700,172365,154521,0,0,1,0,0,0,0,15538,11581,,6120.0,0.0,0.0,119602,2,8,0,0,1,I
AI0230,2019-06-09,VTSCA,CCU,DAC,10524,15328,57000,52196,5350,62482,57546,1482,61000,56064,0,0,0,0,0,0,0,8700,1824,1820.0,50.0,31.0,0.0,41672,2,6,0,0,0,D
AI0349,2019-06-15,VTANS,PVG,DEL,36455,41584,161025,155896,39000,202344,194896,30000,172365,164896,0,0,0,0,0,0,0,16171,14446,3755.0,13480.0,2440.0,0.0,119441,3,8,0,0,0,I
AI0349,2019-06-16,VTANS,PVG,DEL,39358,41232,161025,159151,39100,202472,198251,30200,172365,168051,0,0,0,0,0,0,0,18857,10119,3793.0,12690.0,3385.0,0.0,119793,2,8,0,0,0,I
AI0380,2019-06-11,VTANR,DEL,SIN,35651,41238,161025,155438,31000,197497,186438,25132,172365,161306,0,0,0,0,0,0,0,19035,16616,4031.0,12195.0,0.0,0.0,119787,3,8,0,0,0,D
