Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0010,2019-06-01,,DEL,AMD,,,,,,,,,,,0,12,150,107,47,8,0,,,2577.0,,,,,,,0,0,2,D
AI0013,2019-06-08,,DEL,AMD,,,,,,,,,,,0,12,167,107,55,17,0,,,3366.0,,,,,,,0,0,0,D
AI0013,2019-06-13,,DEL,AMD,,,,,,,,,,,0,8,170,122,46,10,2,,,3453.0,,,,,,,0,0,0,D
AI0019,2019-06-05,,DEL,AMD,,,,,,,,,,,0,8,167,120,52,3,0,,,3551.0,,,,,,,0,0,2,D
AI0019,2019-06-15,,DEL,AMD,,,,,,,,,,,0,9,168,135,39,3,0,,,2668.0,,,,,,,0,0,0,D
AI0019,2019-06-23,,DEL,AMD,,,,,,,,,,,0,10,170,155,23,2,1,,,2177.0,,,,,,,0,1,0,D
AI0019,2019-06-24,,DEL,AMD,,,,,,,,,,,0,10,168,140,31,7,1,,,1868.0,,,,,,,0,0,0,D
AI0021,2019-06-21,,CCU,DEL,,,,,,,,,,,0,18,240,180,61,17,3,,,3076.0,,,,,,,0,2,5,D
AI0022,2019-06-25,,DEL,CCU,,,,,,,,,,,0,8,113,94,23,4,0,,,1476.0,,,,,,,0,2,1,D
AI0023,2019-06-10,,CCU,DEL,,,,,,,,,,,0,0,138,94,40,4,5,,,1714.0,,,,,,,0,0,1,D
AI0033,2019-06-20,,BOM,GOI,,,,,,,,,,,0,1,82,54,27,2,0,,,885.0,,,,,,,0,1,0,D
AI0033,2019-06-21,,BOM,GOI,,,,,,,,,,,0,6,149,103,42,10,1,,,1502.0,,,,,,,0,0,1,D
AI0033,2019-06-22,,BOM,GOI,,,,,,,,,,,0,7,151,115,43,0,1,,,866.0,,,,,,,0,2,5,D
AI0033,2019-06-28,,BOM,GOI,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,D
AI0034,2019-06-10,,GOI,BOM,,,,,,,,,,,0,6,150,109,42,5,1,,,3355.0,,,,,,,0,1,0,D
AI0042,2019-06-24,,DEL,MAA,,,,,,,,,,,0,12,146,116,36,6,1,,,2606.0,,,,,,,0,0,3,D
AI0043,2019-06-12,,MAA,DEL,,,,,,,,,,,0,6,138,104,38,2,1,,,1502.0,,,,,,,0,0,8,D
AI0050,2019-06-03,,BOM,HYD,,,,,,,,,,,0,4,68,57,11,4,1,,,807.0,,,,,,,0,3,0,D
AI0050,2019-06-04,,BOM,HYD,,,,,,,,,,,0,3,60,52,9,2,0,,,496.0,,,,,,,0,0,0,D
AI0050,2019-06-07,,BOM,HYD,,,,,,,,,,,0,6,88,71,21,2,1,,,893.0,,,,,,,0,1,0,D
AI0050,2019-06-08,,BOM,HYD,,,,,,,,,,,0,0,2,1,1,0,0,,,0.0,,,,,,,0,0,0,D
AI0050,2019-06-09,,BOM,HYD,,,,,,,,,,,0,8,86,71,21,2,1,,,712.0,,,,,,,0,1,2,D
AI0050,2019-06-12,,BOM,HYD,,,,,,,,,,,0,3,94,74,21,2,0,,,946.0,,,,,,,0,0,0,D
AI0050,2019-06-16,,BOM,HYD,,,,,,,,,,,0,0,102,71,22,9,0,,,1183.0,,,,,,,0,0,2,D
AI0050,2019-06-20,,BOM,HYD,,,,,,,,,,,0,1,65,44,19,3,0,,,744.0,,,,,,,0,0,0,D
AI0051,2019-06-12,,HYD,BOM,,,,,,,,,,,0,6,79,73,10,2,0,,,1436.0,,,,,,,0,2,0,D
AI0075,2019-06-17,,DEL,BBI,,,,,,,,,,,0,10,170,111,47,22,1,,,2322.0,,,,,,,0,0,4,D
AI0075,2019-06-20,,DEL,BBI,,,,,,,,,,,0,6,146,104,35,13,1,,,1867.0,,,,,,,0,0,0,D
AI0075,2019-06-24,,DEL,BBI,,,,,,,,,,,0,0,127,95,28,4,1,,,1506.0,,,,,,,0,0,0,D
AI0075,2019-06-25,,DEL,BBI,,,,,,,,,,,0,3,135,104,31,3,0,,,1866.0,,,,,,,0,0,1,D
AI0076,2019-06-02,,BBI,DEL,,,,,,,,,,,0,4,140,98,37,9,1,,,1582.0,,,,,,,0,0,0,D
AI0076,2019-06-14,,BBI,DEL,,,,,,,,,,,0,0,2,2,0,0,0,,,0.0,,,,,,,0,0,0,D
AI0076,2019-06-17,,BBI,DEL,,,,,,,,,,,0,11,120,97,24,10,1,,,1552.0,,,,,,,0,0,0,D
AI0076,2019-06-27,,BBI,DEL,,,,,,,,,,,0,1,147,102,33,13,1,,,1928.0,,,,,,,0,0,0,D
AI0077,2019-06-03,,DEL,BBI,,,,,,,,,,,0,1,145,110,27,9,2,,,2143.0,,,,,,,0,0,0,D
AI0077,2019-06-29,,DEL,BBI,,,,,,,,,,,0,0,108,73,24,11,4,,,1714.0,,,,,,,0,0,0,D
AI0083,2019-06-12,,BOM,GOI,,,,,,,,,,,0,0,15,12,3,0,0,,,0.0,,,,,,,0,0,0,D
AI0083,2019-06-20,,BOM,GOI,,,,,,,,,,,0,4,144,94,53,1,1,,,1688.0,,,,,,,0,1,0,D
AI0083,2019-06-25,,BOM,GOI,,,,,,,,,,,0,2,83,68,16,1,1,,,1164.0,,,,,,,0,0,0,D
