Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0010,2019-06-02,VTEXE,DEL,AMD,16946.0,19163.0,62500.0,59414.0,7450.0,69081.0,66864.0,3150.0,66000.0,63714.0,0,0,181,113,55,13,1,13065.0,3881.0,3597.0,284.0,0.0,0.0,42468.0,2.0,4.0,0,0,1,D
AI0010,2019-06-03,VTCID,DEL,AMD,13871.0,16578.0,64300.0,58671.0,6850.0,68228.0,65521.0,2753.0,67400.0,62768.0,0,9,148,93,51,13,2,11275.0,2596.0,2596.0,0.0,0.0,0.0,44800.0,2.0,4.0,0,3,0,D
AI0010,2019-06-04,VTPPB,DEL,AMD,15681.0,19238.0,71500.0,64983.0,9800.0,78340.0,74783.0,3833.0,75500.0,70950.0,0,1,169,123,40,7,0,12470.0,3211.0,3210.0,1.0,0.0,0.0,49302.0,2.0,5.0,0,0,4,D
AI0010,2019-06-05,VTEXE,DEL,AMD,15115.0,18234.0,62500.0,57583.0,7950.0,68652.0,65533.0,3192.0,66000.0,62341.0,0,0,171,124,32,15,4,12225.0,2890.0,2888.0,2.0,0.0,0.0,42468.0,2.0,4.0,0,0,6,D
AI0010,2019-06-06,VTPPB,DEL,AMD,13576.0,18272.0,71500.0,62923.0,9800.0,77419.0,72723.0,3946.0,75500.0,68777.0,0,4,144,103,37,8,0,10780.0,2796.0,2766.0,0.0,0.0,30.0,49347.0,2.0,5.0,0,0,2,D
AI0010,2019-06-07,VTPPD,DEL,AMD,16229.0,19343.0,71500.0,65558.0,10000.0,78672.0,75558.0,4042.0,75500.0,71516.0,0,3,170,116,48,9,2,12595.0,3634.0,3632.0,2.0,0.0,0.0,49329.0,2.0,5.0,0,0,3,D
AI0010,2019-06-08,VTEXA,DEL,AMD,16402.0,18265.0,62500.0,58716.0,8250.0,68829.0,66966.0,3312.0,66000.0,63654.0,0,0,166,111,49,6,1,12220.0,4182.0,3112.0,1070.0,0.0,0.0,42314.0,2.0,4.0,0,0,2,D
AI0010,2019-06-09,VTEXA,DEL,AMD,16412.0,18131.0,62500.0,58726.0,8650.0,69095.0,67376.0,3280.0,66000.0,64096.0,0,0,180,121,50,9,1,13150.0,3262.0,2976.0,286.0,0.0,0.0,42314.0,2.0,4.0,0,0,3,D
AI0010,2019-06-10,VTEXD,DEL,AMD,14216.0,17384.0,62500.0,56627.0,8150.0,67945.0,64777.0,3129.0,66000.0,61648.0,0,0,163,118,39,6,0,11985.0,2231.0,2230.0,1.0,0.0,0.0,42411.0,2.0,4.0,0,0,1,D
AI0010,2019-06-11,VTCIF,DEL,AMD,15533.0,16705.0,64300.0,60347.0,6950.0,68469.0,67297.0,2752.0,67400.0,64545.0,0,12,150,111,41,10,0,11750.0,3783.0,3782.0,1.0,0.0,0.0,44814.0,2.0,4.0,0,0,2,D
AI0010,2019-06-12,VTEXA,DEL,AMD,15536.0,16558.0,62500.0,57850.0,9850.0,68722.0,67700.0,3223.0,66000.0,64477.0,0,0,171,115,42,14,3,12295.0,3241.0,3236.0,5.0,0.0,0.0,42314.0,2.0,4.0,0,0,0,D
AI0010,2019-06-13,VTEXD,DEL,AMD,16399.0,16702.0,62500.0,58810.0,9850.0,68963.0,68660.0,3229.0,66000.0,65431.0,0,0,177,127,42,8,2,12975.0,3424.0,3310.0,114.0,0.0,0.0,42411.0,2.0,4.0,0,0,3,D
