Flight Number,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Dom Intl Flag,Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs)
AI0010,VTEXA,DEL,AMD,D,1413.0,0.0
AI0010,VTEXB,DEL,AMD,D,2127.0,0.0
AI0010,VTEXE,DEL,AMD,D,171.0,0.0
AI0010,VTPPI,DEL,AMD,D,56.0,0.0
AI0010,VTPPK,DEL,AMD,D,389.0,0.0
AI0010,VTPPO,DEL,AMD,D,191.0,0.0
AI0010,VTPPV,DEL,AMD,D,171.0,0.0
AI0011,VTEXA,AMD,DEL,D,1046.0,0.0
AI0011,VTEXB,AMD,DEL,D,644.0,0.0
AI0011,VTEXC,AMD,DEL,D,0.0,0.0
AI0011,VTEXE,AMD,DEL,D,109.0,0.0
AI0011,VTPPI,AMD,DEL,D,0.0,0.0
AI0011,VTPPK,AMD,DEL,D,239.0,0.0
AI0011,VTPPO,AMD,DEL,D,2.0,0.0
AI0011,VTPPV,AMD,DEL,D,176.0,0.0
AI0013,VTEXA,DEL,AMD,D,708.0,0.0
AI0013,VTEXB,DEL,AMD,D,2660.0,0.0
AI0013,VTEXC,DEL,AMD,D,4169.0,0.0
AI0013,VTEXE,DEL,AMD,D,3683.0,0.0
AI0013,VTPPB,DEL,AMD,D,448.0,0.0
AI0013,VTPPE,DEL,AMD,D,546.0,0.0
AI0013,VTPPI,DEL,AMD,D,1189.0,0.0
AI0013,VTPPJ,DEL,AMD,D,1018.0,0.0
AI0013,VTPPT,DEL,AMD,D,698.0,0.0
AI0013,VTPPV,DEL,AMD,D,3794.0,282.0
AI0014,VTEXA,AMD,DEL,D,0.0,0.0
AI0014,VTEXB,AMD,DEL,D,289.0,0.0
AI0014,VTEXC,AMD,DEL,D,0.0,0.0
AI0014,VTEXE,AMD,DEL,D,0.0,0.0
AI0014,VTPPB,AMD,DEL,D,0.0,0.0
AI0014,VTPPE,AMD,DEL,D,0.0,0.0
AI0014,VTPPI,AMD,DEL,D,0.0,0.0
AI0014,VTPPJ,AMD,DEL,D,0.0,0.0
AI0014,VTPPT,AMD,DEL,D,0.0,0.0
AI0014,VTPPV,AMD,DEL,D,0.0,0.0
AI0016,VTANT,DEL,ATQ,D,4.0,0.0
AI0016,VTEXA,DEL,ATQ,D,126.0,0.0
AI0016,VTEXB,DEL,ATQ,D,0.0,0.0
AI0016,VTPPA,DEL,ATQ,D,72.0,0.0
AI0016,VTPPD,DEL,ATQ,D,285.0,0.0
AI0016,VTPPE,DEL,ATQ,D,802.0,0.0
AI0016,VTPPF,DEL,ATQ,D,0.0,0.0
AI0016,VTPPG,DEL,ATQ,D,154.0,0.0
AI0016,VTPPH,DEL,ATQ,D,120.0,0.0
AI0016,VTPPI,DEL,ATQ,D,2.0,0.0
AI0016,VTPPJ,DEL,ATQ,D,0.0,0.0
AI0016,VTPPK,DEL,ATQ,D,16.0,0.0
AI0016,VTPPQ,DEL,ATQ,D,110.0,0.0
AI0016,VTPPT,DEL,ATQ,D,0.0,0.0
AI0016,VTPPV,DEL,ATQ,D,0.0,0.0
AI0018,VTPPA,AMD,DEL,D,1158.0,0.0
AI0018,VTPPB,AMD,DEL,D,2666.0,0.0
AI0018,VTPPE,AMD,DEL,D,2064.0,0.0
AI0018,VTPPF,AMD,DEL,D,2254.0,0.0
AI0018,VTPPG,AMD,DEL,D,2269.0,0.0
AI0018,VTPPH,AMD,DEL,D,4115.0,0.0
AI0018,VTPPI,AMD,DEL,D,4.0,0.0
AI0018,VTPPJ,AMD,DEL,D,2587.0,0.0
AI0018,VTPPK,AMD,DEL,D,1462.0,0.0
AI0018,VTPPO,AMD,DEL,D,1234.0,0.0
AI0018,VTPPQ,AMD,DEL,D,1176.0,0.0
AI0018,VTPPT,AMD,DEL,D,5040.0,0.0
AI0018,VTPPV,AMD,DEL,D,9757.0,0.0
AI0019,VTPPA,DEL,AMD,D,1740.0,1471.0
AI0019,VTPPB,DEL,AMD,D,3018.0,0.0
AI0019,VTPPE,DEL,AMD,D,2340.0,1.0
AI0019,VTPPG,DEL,AMD,D,3057.0,0.0
AI0019,VTPPH,DEL,AMD,D,3349.0,0.0
AI0019,VTPPJ,DEL,AMD,D,3000.0,0.0
AI0019,VTPPK,DEL,AMD,D,1754.0,0.0
AI0019,VTPPO,DEL,AMD,D,377.0,0.0
AI0019,VTPPQ,DEL,AMD,D,1636.0,1.0
AI0019,VTPPT,DEL,AMD,D,7892.0,0.0
AI0019,VTPPV,DEL,AMD,D,12477.0,17.0
AI0020,VTANA,DEL,CCU,D,7233.0,0.0
AI0020,VTANC,DEL,CCU,D,7160.0,0.0
AI0020,VTAND,DEL,CCU,D,5996.0,0.0
AI0020,VTANE,DEL,CCU,D,1563.0,0.0
AI0020,VTANG,DEL,CCU,D,9842.0,0.0
AI0020,VTANH,DEL,CCU,D,7343.0,0.0
AI0020,VTANK,DEL,CCU,D,6604.0,0.0
AI0020,VTANL,DEL,CCU,D,2723.0,0.0
AI0020,VTANO,DEL,CCU,D,2986.0,0.0
AI0020,VTANP,DEL,CCU,D,13456.0,0.0
AI0020,VTANQ,DEL,CCU,D,2877.0,0.0
AI0020,VTANR,DEL,CCU,D,3620.0,0.0
AI0020,VTANT,DEL,CCU,D,1855.0,0.0
AI0020,VTANV,DEL,CCU,D,12183.0,0.0
AI0020,VTANW,DEL,CCU,D,11510.0,0.0
AI0020,VTANY,DEL,CCU,D,4254.0,0.0
AI0020,VTANZ,DEL,CCU,D,11896.0,0.0
AI0021,VTANA,CCU,DEL,D,2166.0,0.0
AI0021,VTAND,CCU,DEL,D,1250.0,0.0
AI0021,VTANE,CCU,DEL,D,795.0,0.0
AI0021,VTANG,CCU,DEL,D,2428.0,0.0
AI0021,VTANI,CCU,DEL,D,2191.0,0.0
AI0021,VTANK,CCU,DEL,D,1755.0,0.0
AI0021,VTANL,CCU,DEL,D,605.0,0.0
AI0021,VTANP,CCU,DEL,D,0.0,0.0
AI0021,VTANQ,CCU,DEL,D,308.0,0.0
AI0021,VTANR,CCU,DEL,D,11895.0,0.0
AI0021,VTANS,CCU,DEL,D,29.0,0.0
AI0021,VTANT,CCU,DEL,D,1178.0,0.0
AI0021,VTANV,CCU,DEL,D,1439.0,0.0
AI0021,VTANW,CCU,DEL,D,0.0,0.0
AI0021,VTANY,CCU,DEL,D,159.0,0.0
AI0021,VTANZ,CCU,DEL,D,6424.0,0.0
AI0021,VTNAC,CCU,DEL,D,562.0,0.0
AI0022,VTEXA,DEL,CCU,D,620.0,0.0
AI0022,VTPPA,DEL,CCU,D,5373.0,0.0
AI0022,VTPPB,DEL,CCU,D,360.0,0.0
AI0022,VTPPD,DEL,CCU,D,617.0,0.0
AI0022,VTPPE,DEL,CCU,D,4141.0,8.0
AI0022,VTPPF,DEL,CCU,D,799.0,0.0
AI0022,VTPPG,DEL,CCU,D,5480.0,16.0
AI0022,VTPPH,DEL,CCU,D,2600.0,0.0
AI0022,VTPPJ,DEL,CCU,D,2967.0,0.0
AI0022,VTPPK,DEL,CCU,D,2931.0,58.0
AI0022,VTPPO,DEL,CCU,D,1757.0,0.0
AI0022,VTPPQ,DEL,CCU,D,3150.0,28.0
AI0022,VTPPT,DEL,CCU,D,896.0,26.0
AI0022,VTPPV,DEL,CCU,D,1237.0,0.0
AI0023,VTALG,CCU,DEL,D,1782.0,0.0
AI0023,VTCID,CCU,DEL,D,0.0,0.0
AI0023,VTCIE,CCU,DEL,D,233.0,0.0
AI0023,VTCIF,CCU,DEL,D,600.0,0.0
AI0023,VTCIG,CCU,DEL,D,1029.0,0.0
AI0023,VTCIH,CCU,DEL,D,0.0,0.0
AI0023,VTCIN,CCU,DEL,D,62.0,0.0
AI0023,VTCIO,CCU,DEL,D,944.0,0.0
AI0023,VTCIQ,CCU,DEL,D,563.0,0.0
AI0023,VTEDE,CCU,DEL,D,297.0,0.0
AI0023,VTEDF,CCU,DEL,D,6.0,0.0
AI0023,VTEXB,CCU,DEL,D,806.0,0.0
AI0023,VTEXF,CCU,DEL,D,0.0,0.0
AI0023,VTEXG,CCU,DEL,D,1167.0,0.0
AI0023,VTEXH,CCU,DEL,D,416.0,0.0
AI0023,VTEXJ,CCU,DEL,D,879.0,0.0
AI0023,VTEXL,CCU,DEL,D,904.0,0.0
AI0023,VTEXN,CCU,DEL,D,558.0,0.0
AI0023,VTEXO,CCU,DEL,D,425.0,0.0
AI0023,VTEXQ,CCU,DEL,D,550.0,0.0
AI0023,VTEXV,CCU,DEL,D,114.0,0.0
AI0023,VTNAC,CCU,DEL,D,86.0,0.0
AI0023,VTPPK,CCU,DEL,D,1260.0,0.0
AI0023,VTPPO,CCU,DEL,D,1449.0,0.0
AI0024,VTCID,DEL,BOM,D,0.0,0.0
AI0024,VTCIE,DEL,BOM,D,572.0,0.0
AI0024,VTCIF,DEL,BOM,D,0.0,0.0
AI0024,VTCIH,DEL,BOM,D,0.0,0.0
AI0024,VTEXF,DEL,BOM,D,0.0,0.0
AI0024,VTEXH,DEL,BOM,D,0.0,0.0
AI0024,VTEXJ,DEL,BOM,D,0.0,0.0
AI0024,VTEXK,DEL,BOM,D,0.0,0.0
AI0024,VTEXL,DEL,BOM,D,0.0,0.0
AI0024,VTEXM,DEL,BOM,D,0.0,0.0
AI0024,VTEXN,DEL,BOM,D,0.0,0.0
AI0024,VTEXP,DEL,BOM,D,0.0,0.0
AI0024,VTEXU,DEL,BOM,D,1729.0,353.0
AI0024,VTEXV,DEL,BOM,D,0.0,0.0
AI0024,VTPPI,DEL,BOM,D,0.0,0.0
AI0024,VTPPJ,DEL,BOM,D,0.0,0.0
AI0030,VTANA,AMD,BOM,D,1790.0,0.0
AI0030,VTANC,AMD,BOM,D,2633.0,0.0
AI0030,VTANE,AMD,BOM,D,2098.0,0.0
AI0030,VTANI,AMD,BOM,D,19325.0,0.0
AI0030,VTANL,AMD,BOM,D,9731.0,0.0
AI0030,VTANN,AMD,BOM,D,3154.0,0.0
AI0030,VTANO,AMD,BOM,D,9128.0,0.0
AI0030,VTANQ,AMD,BOM,D,3895.0,0.0
AI0030,VTANR,AMD,BOM,D,3637.0,0.0
AI0030,VTANS,AMD,BOM,D,7975.0,0.0
AI0030,VTANV,AMD,BOM,D,1684.0,0.0
AI0030,VTANW,AMD,BOM,D,10725.0,0.0
AI0030,VTANX,AMD,BOM,D,6640.0,0.0
AI0031,VTANA,BOM,AMD,D,9135.0,0.0
AI0031,VTANC,BOM,AMD,D,695.0,0.0
AI0031,VTANE,BOM,AMD,D,892.0,0.0
AI0031,VTANH,BOM,AMD,D,3684.0,0.0
AI0031,VTANI,BOM,AMD,D,16522.0,0.0
AI0031,VTANL,BOM,AMD,D,7582.0,0.0
AI0031,VTANN,BOM,AMD,D,13263.0,0.0
AI0031,VTANO,BOM,AMD,D,21445.0,0.0
AI0031,VTANQ,BOM,AMD,D,12646.0,0.0
AI0031,VTANR,BOM,AMD,D,3113.0,0.0
AI0031,VTANS,BOM,AMD,D,12895.0,0.0
AI0031,VTANT,BOM,AMD,D,3978.0,0.0
AI0031,VTANV,BOM,AMD,D,1952.0,0.0
AI0031,VTANW,BOM,AMD,D,1270.0,0.0
AI0031,VTANX,BOM,AMD,D,6966.0,0.0
AI0033,VTCIE,BOM,GOI,D,1235.0,0.0
AI0033,VTCIF,BOM,GOI,D,0.0,0.0
AI0033,VTCIG,BOM,GOI,D,0.0,0.0
AI0033,VTCIH,BOM,GOI,D,0.0,0.0
AI0033,VTCIN,BOM,GOI,D,0.0,0.0
AI0033,VTCIO,BOM,GOI,D,0.0,0.0
AI0033,VTCIP,BOM,GOI,D,452.0,0.0
AI0033,VTEXG,BOM,GOI,D,0.0,0.0
AI0033,VTEXH,BOM,GOI,D,0.0,0.0
AI0033,VTEXJ,BOM,GOI,D,0.0,0.0
AI0033,VTEXL,BOM,GOI,D,686.0,0.0
AI0033,VTEXM,BOM,GOI,D,0.0,0.0
AI0033,VTEXN,BOM,GOI,D,0.0,0.0
AI0033,VTEXP,BOM,GOI,D,0.0,0.0
AI0033,VTEXT,BOM,GOI,D,0.0,0.0
AI0033,VTEXU,BOM,GOI,D,0.0,0.0
AI0033,VTEXV,BOM,GOI,D,0.0,0.0
AI0033,VTPPH,BOM,GOI,D,0.0,0.0
AI0034,VTCIE,GOI,BOM,D,0.0,0.0
AI0034,VTCIF,GOI,BOM,D,0.0,0.0
AI0034,VTCIG,GOI,BOM,D,0.0,0.0
AI0034,VTCIH,GOI,BOM,D,0.0,0.0
AI0034,VTCIN,GOI,BOM,D,0.0,0.0
AI0034,VTCIO,GOI,BOM,D,0.0,0.0
AI0034,VTCIP,GOI,BOM,D,0.0,0.0
AI0034,VTEXG,GOI,BOM,D,0.0,0.0
AI0034,VTEXH,GOI,BOM,D,0.0,0.0
AI0034,VTEXI,GOI,BOM,D,0.0,0.0
AI0034,VTEXJ,GOI,BOM,D,0.0,0.0
AI0034,VTEXL,GOI,BOM,D,0.0,0.0
AI0034,VTEXM,GOI,BOM,D,0.0,0.0
AI0034,VTEXN,GOI,BOM,D,0.0,0.0
AI0034,VTEXP,GOI,BOM,D,0.0,0.0
AI0034,VTEXT,GOI,BOM,D,0.0,0.0
AI0034,VTEXU,GOI,BOM,D,0.0,0.0
AI0034,VTEXV,GOI,BOM,D,0.0,0.0
AI0034,VTPPH,GOI,BOM,D,0.0,0.0
AI0042,VTCIE,DEL,MAA,D,0.0,363.0
AI0042,VTCIF,DEL,MAA,D,2404.0,296.0
AI0042,VTCIG,DEL,MAA,D,1593.0,0.0
AI0042,VTCIM,DEL,MAA,D,4643.0,328.0
AI0042,VTCIN,DEL,MAA,D,1231.0,0.0
AI0042,VTCIP,DEL,MAA,D,3925.0,154.0
AI0042,VTCIQ,DEL,MAA,D,524.0,0.0
AI0042,VTEDD,DEL,MAA,D,1471.0,0.0
AI0042,VTEXF,DEL,MAA,D,7624.0,170.0
AI0042,VTEXG,DEL,MAA,D,2138.0,0.0
AI0042,VTEXI,DEL,MAA,D,1955.0,0.0
AI0042,VTEXL,DEL,MAA,D,452.0,0.0
AI0042,VTEXQ,DEL,MAA,D,785.0,0.0
AI0042,VTEXS,DEL,MAA,D,4437.0,0.0
AI0042,VTEXT,DEL,MAA,D,4222.0,0.0
AI0042,VTEXV,DEL,MAA,D,985.0,0.0
AI0042,VTPPB,DEL,MAA,D,678.0,0.0
AI0042,VTPPJ,DEL,MAA,D,1107.0,0.0
AI0042,VTPPQ,DEL,MAA,D,1123.0,0.0
AI0042,VTPPV,DEL,MAA,D,5446.0,578.0
AI0043,VTCIE,MAA,DEL,D,329.0,129.0
AI0043,VTCIF,MAA,DEL,D,0.0,0.0
AI0043,VTCIG,MAA,DEL,D,0.0,193.0
AI0043,VTCIM,MAA,DEL,D,1364.0,0.0
AI0043,VTCIN,MAA,DEL,D,552.0,90.0
AI0043,VTCIP,MAA,DEL,D,1772.0,282.0
AI0043,VTCIQ,MAA,DEL,D,0.0,166.0
AI0043,VTEDD,MAA,DEL,D,0.0,132.0
AI0043,VTEXF,MAA,DEL,D,1181.0,383.0
AI0043,VTEXG,MAA,DEL,D,0.0,240.0
AI0043,VTEXI,MAA,DEL,D,290.0,122.0
AI0043,VTEXL,MAA,DEL,D,0.0,169.0
AI0043,VTEXQ,MAA,DEL,D,0.0,0.0
AI0043,VTEXS,MAA,DEL,D,489.0,224.0
AI0043,VTEXT,MAA,DEL,D,1526.0,314.0
AI0043,VTEXV,MAA,DEL,D,0.0,365.0
AI0043,VTPPB,MAA,DEL,D,356.0,153.0
AI0043,VTPPJ,MAA,DEL,D,0.0,145.0
AI0043,VTPPQ,MAA,DEL,D,0.0,165.0
AI0043,VTPPV,MAA,DEL,D,0.0,224.0
AI0047,VTCID,COK,DEL,D,29.0,0.0
AI0047,VTCIE,COK,DEL,D,1.0,0.0
AI0047,VTCIM,COK,DEL,D,3673.0,857.0
AI0047,VTCIN,COK,DEL,D,603.0,0.0
AI0047,VTCIQ,COK,DEL,D,248.0,0.0
AI0047,VTEXH,COK,DEL,D,14.0,0.0
AI0047,VTEXJ,COK,DEL,D,151.0,170.0
AI0047,VTEXK,COK,DEL,D,479.0,707.0
AI0047,VTEXP,COK,DEL,D,14.0,399.0
AI0047,VTEXS,COK,DEL,D,18.0,180.0
AI0047,VTEXT,COK,DEL,D,69.0,85.0
AI0047,VTEXU,COK,DEL,D,1134.0,482.0
AI0047,VTPPA,COK,DEL,D,0.0,0.0
AI0048,VTPPB,COK,TRV,D,110.0,0.0
AI0048,VTPPB,DEL,COK,D,3178.0,29.0
AI0048,VTPPD,COK,TRV,D,410.0,0.0
AI0048,VTPPD,DEL,COK,D,3956.0,0.0
AI0048,VTPPE,COK,TRV,D,160.0,50.0
AI0048,VTPPE,DEL,COK,D,5505.0,50.0
AI0048,VTPPF,COK,TRV,D,1422.0,33.0
AI0048,VTPPF,DEL,COK,D,9699.0,113.0
AI0048,VTPPH,COK,TRV,D,2046.0,8.0
AI0048,VTPPH,DEL,COK,D,15128.0,47.0
AI0048,VTPPI,COK,TRV,D,2156.0,15.0
AI0048,VTPPI,DEL,COK,D,6264.0,15.0
AI0048,VTPPJ,COK,TRV,D,46.0,0.0
AI0048,VTPPJ,DEL,COK,D,2169.0,0.0
AI0048,VTPPK,COK,TRV,D,828.0,120.0
AI0048,VTPPK,DEL,COK,D,8999.0,120.0
AI0048,VTPPO,COK,TRV,D,320.0,0.0
AI0048,VTPPO,DEL,COK,D,1617.0,61.0
AI0048,VTPPT,COK,TRV,D,40.0,38.0
AI0048,VTPPT,DEL,COK,D,2277.0,38.0
AI0048,VTPPV,COK,TRV,D,404.0,12.0
AI0048,VTPPV,DEL,COK,D,4312.0,40.0
AI0050,VTCID,BOM,HYD,D,0.0,0.0
AI0050,VTCIG,BOM,HYD,D,0.0,0.0
AI0050,VTCIN,BOM,HYD,D,0.0,0.0
AI0050,VTEXF,BOM,HYD,D,0.0,0.0
AI0050,VTEXH,BOM,HYD,D,0.0,0.0
AI0050,VTEXI,BOM,HYD,D,97.0,0.0
AI0050,VTEXO,BOM,HYD,D,0.0,0.0
AI0050,VTEXP,BOM,HYD,D,116.0,0.0
AI0050,VTEXS,BOM,HYD,D,0.0,0.0
AI0050,VTSCG,BOM,HYD,D,0.0,0.0
AI0050,VTSCL,BOM,HYD,D,0.0,0.0
AI0050,VTSCM,BOM,HYD,D,0.0,0.0
AI0050,VTSCN,BOM,HYD,D,0.0,0.0
AI0050,VTSCP,BOM,HYD,D,0.0,0.0
AI0050,VTSCW,BOM,HYD,D,0.0,0.0
AI0051,VTCID,HYD,BOM,D,257.0,0.0
AI0051,VTCIG,HYD,BOM,D,473.0,0.0
AI0051,VTCIN,HYD,BOM,D,508.0,0.0
AI0051,VTCIO,HYD,BOM,D,437.0,0.0
AI0051,VTEXF,HYD,BOM,D,297.0,0.0
AI0051,VTEXH,HYD,BOM,D,389.0,0.0
AI0051,VTEXI,HYD,BOM,D,203.0,0.0
AI0051,VTEXJ,HYD,BOM,D,227.0,0.0
AI0051,VTEXK,HYD,BOM,D,251.0,0.0
AI0051,VTEXL,HYD,BOM,D,194.0,0.0
AI0051,VTEXP,HYD,BOM,D,212.0,0.0
AI0051,VTSCF,HYD,BOM,D,303.0,0.0
AI0051,VTSCG,HYD,BOM,D,737.0,0.0
AI0051,VTSCI,HYD,BOM,D,208.0,0.0
AI0051,VTSCM,HYD,BOM,D,241.0,0.0
AI0051,VTSCN,HYD,BOM,D,510.0,0.0
AI0051,VTSCP,HYD,BOM,D,514.0,0.0
AI0051,VTSCW,HYD,BOM,D,564.0,0.0
AI0054,VTCIN,BOM,COK,D,0.0,0.0
AI0054,VTEDD,BOM,COK,D,0.0,0.0
AI0054,VTEDE,BOM,COK,D,1318.0,0.0
AI0054,VTEDF,BOM,COK,D,0.0,0.0
AI0054,VTEXG,BOM,COK,D,1160.0,0.0
AI0054,VTEXJ,BOM,COK,D,0.0,0.0
AI0054,VTEXS,BOM,COK,D,1100.0,0.0
AI0054,VTSCF,BOM,COK,D,0.0,0.0
AI0054,VTSCG,BOM,COK,D,0.0,0.0
AI0054,VTSCL,BOM,COK,D,1182.0,0.0
AI0054,VTSCN,BOM,COK,D,0.0,0.0
AI0054,VTSCO,BOM,COK,D,105.0,0.0
AI0054,VTSCP,BOM,COK,D,17.0,0.0
AI0054,VTSCQ,BOM,COK,D,0.0,0.0
