Flight Number,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Dom Intl Flag,Flight Departure Date
9I0505,VTAIY,BLR,COK,D,2/7/20193/7/2019
9I0505,VTAIY,COK,AGX,D,2/7/20193/7/2019
9I0505,VTAIZ,BLR,COK,D,1/7/2019
9I0505,VTAIZ,COK,AGX,D,1/7/2019
9I0505,VTRKC,BLR,COK,D,4/7/20195/7/2019
9I0505,VTRKC,COK,AGX,D,4/7/20195/7/2019
9I0505,VTRKL,BLR,COK,D,6/7/20197/7/20198/7/20199/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201916/07/201917/07/201918/07/201920/07/201921/07/201922/07/201923/07/201924/07/201925/07/201926/07/201927/07/201928/07/201929/07/201930/07/201931/07/2019
9I0505,VTRKL,COK,AGX,D,6/7/20197/7/20198/7/20199/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201916/07/201917/07/201918/07/201920/07/201921/07/201922/07/201923/07/201924/07/201925/07/201926/07/201927/07/201928/07/201929/07/201930/07/201931/07/2019
9I0506,VTAIY,AGX,COK,D,2/7/20193/7/2019
9I0506,VTAIY,COK,BLR,D,2/7/20193/7/2019
9I0506,VTAIZ,AGX,COK,D,1/7/2019
9I0506,VTAIZ,COK,BLR,D,1/7/2019
9I0506,VTRKC,AGX,COK,D,4/7/20195/7/2019
9I0506,VTRKC,COK,BLR,D,4/7/20195/7/2019
9I0506,VTRKL,AGX,COK,D,6/7/20197/7/20198/7/20199/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201916/07/201917/07/201918/07/201919/07/201920/07/201921/07/201922/07/201923/07/201924/07/201925/07/201926/07/201927/07/201928/07/201929/07/201930/07/201931/07/2019
9I0506,VTRKL,COK,BLR,D,6/7/20197/7/20198/7/20199/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201916/07/201917/07/201919/07/201920/07/201921/07/201922/07/201923/07/201924/07/201925/07/201926/07/201927/07/201928/07/201929/07/201930/07/201931/07/2019
9I0513,VTAIY,BLR,IXG,D,1/7/2019
9I0513,VTAIY,IXG,PNQ,D,1/7/2019
9I0513,VTRKC,BLR,IXG,D,3/7/20194/7/2019
9I0513,VTRKC,IXG,PNQ,D,3/7/2019
9I0513,VTRKL,BLR,HBX,D,6/7/2019
9I0513,VTRKL,BLR,IXG,D,5/7/20197/7/20198/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201917/07/201919/07/201920/07/201921/07/201922/07/201923/07/201924/07/201925/07/201926/07/201927/07/201928/07/201929/07/201931/07/2019
9I0513,VTRKL,IXG,PNQ,D,7/7/20198/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201917/07/201919/07/201920/07/201921/07/201922/07/201924/07/201926/07/201927/07/201928/07/201929/07/201931/07/2019
9I0514,VTAIY,IXG,BLR,D,1/7/2019
9I0514,VTAIY,PNQ,IXG,D,1/7/2019
9I0514,VTRKC,IXG,BLR,D,3/7/20194/7/2019
9I0514,VTRKC,PNQ,IXG,D,3/7/20194/7/2019
9I0514,VTRKL,IXG,BLR,D,7/7/20198/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201917/07/201919/07/201920/07/201921/07/201922/07/201923/07/201924/07/201926/07/201927/07/201928/07/201929/07/201931/07/2019
9I0514,VTRKL,PNQ,BLR,D,5/7/2019
9I0514,VTRKL,PNQ,HBX,D,6/7/2019
9I0514,VTRKL,PNQ,IXG,D,7/7/20198/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201917/07/201919/07/201920/07/201921/07/201922/07/201924/07/201926/07/201927/07/201928/07/201929/07/201931/07/2019
9I0527,VTAIY,VGA,TIR,D,3/7/20194/7/20195/7/20196/7/20197/7/20198/7/20199/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201916/07/201917/07/2019
9I0527,VTAIY,VTZ,VGA,D,3/7/20194/7/20195/7/20196/7/20197/7/20198/7/20199/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201916/07/201917/07/2019
9I0527,VTRKC,VGA,TIR,D,1/7/20192/7/2019
9I0527,VTRKC,VTZ,VGA,D,1/7/20192/7/2019
9I0528,VTAIY,TIR,VGA,D,3/7/20194/7/20195/7/20196/7/20197/7/20198/7/20199/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201916/07/201917/07/2019
9I0528,VTAIY,VGA,VTZ,D,3/7/20194/7/20195/7/20196/7/20197/7/20198/7/20199/7/201910/7/201911/7/201912/7/201913/07/201914/07/201915/07/201916/07/201917/07/2019
9I0528,VTRKC,TIR,VGA,D,1/7/20192/7/2019
9I0528,VTRKC,VGA,VTZ,D,1/7/20192/7/2019
9I0535,VTAIU,KLH,BLR,D,16/07/201928/07/2019
9I0535,VTAIV,KLH,BLR,D,19/07/201920/07/201931/07/2019
9I0535,VTAIW,KLH,BLR,D,23/07/201925/07/201927/07/201929/07/2019
9I0535,VTRKC,KLH,BLR,D,21/07/201924/07/201926/07/2019
9I0535,VTRKL,KLH,BLR,D,30/07/2019
9I0536,VTAIU,BLR,KLH,D,14/07/201915/07/201916/07/201917/07/201928/07/2019
9I0536,VTAIV,BLR,KLH,D,19/07/201920/07/201931/07/2019
9I0536,VTAIW,BLR,KLH,D,23/07/201925/07/201927/07/201929/07/2019
9I0536,VTAIZ,BLR,KLH,D,1/7/20193/7/2019
9I0536,VTRKC,BLR,KLH,D,5/7/20196/7/20198/7/20199/7/201910/7/201921/07/201924/07/201926/07/2019
