Flight Number,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Dom Intl Flag,Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs)
AI0010,VTCID,DEL,AMD,D,0.0,0.0
AI0010,VTCIF,DEL,AMD,D,1.0,0.0
AI0010,VTEXA,DEL,AMD,D,1361.0,0.0
AI0010,VTEXB,DEL,AMD,D,1090.0,0.0
AI0010,VTEXD,DEL,AMD,D,788.0,0.0
AI0010,VTEXE,DEL,AMD,D,1175.0,0.0
AI0010,VTEXM,DEL,AMD,D,269.0,0.0
AI0010,VTPPB,DEL,AMD,D,1230.0,0.0
AI0010,VTPPD,DEL,AMD,D,2.0,0.0
AI0010,VTPPG,DEL,AMD,D,90.0,0.0
AI0010,VTPPT,DEL,AMD,D,318.0,0.0
AI0011,VTCID,AMD,DEL,D,0.0,0.0
AI0011,VTCIF,AMD,DEL,D,0.0,0.0
AI0011,VTCIO,AMD,DEL,D,0.0,0.0
AI0011,VTEXA,AMD,DEL,D,3.0,0.0
AI0011,VTEXB,AMD,DEL,D,230.0,0.0
AI0011,VTEXD,AMD,DEL,D,817.0,0.0
AI0011,VTEXE,AMD,DEL,D,159.0,0.0
AI0011,VTEXM,AMD,DEL,D,326.0,0.0
AI0011,VTPPB,AMD,DEL,D,55.0,0.0
AI0011,VTPPD,AMD,DEL,D,0.0,0.0
AI0011,VTPPG,AMD,DEL,D,2.0,0.0
AI0011,VTPPT,AMD,DEL,D,0.0,0.0
AI0013,VTEXA,DEL,AMD,D,1669.0,0.0
AI0013,VTEXB,DEL,AMD,D,2194.0,557.0
AI0013,VTEXC,DEL,AMD,D,0.0,0.0
AI0013,VTEXD,DEL,AMD,D,1733.0,0.0
AI0013,VTEXE,DEL,AMD,D,774.0,0.0
AI0013,VTPPB,DEL,AMD,D,904.0,0.0
AI0013,VTPPD,DEL,AMD,D,297.0,0.0
AI0013,VTPPF,DEL,AMD,D,600.0,0.0
AI0013,VTPPH,DEL,AMD,D,394.0,0.0
AI0013,VTPPT,DEL,AMD,D,416.0,0.0
AI0013,VTPPV,DEL,AMD,D,1320.0,0.0
AI0013,VTSCH,DEL,AMD,D,727.0,0.0
AI0013,VTSCI,DEL,AMD,D,1298.0,0.0
AI0013,VTSCK,DEL,AMD,D,0.0,0.0
AI0013,VTSCP,DEL,AMD,D,521.0,0.0
AI0014,VTEXA,AMD,DEL,D,0.0,0.0
AI0014,VTEXB,AMD,DEL,D,0.0,0.0
AI0014,VTEXC,AMD,DEL,D,0.0,0.0
AI0014,VTEXD,AMD,DEL,D,0.0,0.0
AI0014,VTEXE,AMD,DEL,D,0.0,0.0
