Flight Number,Flight Departure Date,Aircraft Registration Number,Departure Airport Code,Arrival Airport Code,Aircraft Payload,Available Payload,Maximum Zero Fuel Weight (Kgs),Actual Zero Fuel Weight (Kgs),Take Off Fuel,Maximum Take Off Weight (Kgs),Actual Take Off Weight (Kgs),Trip Fuel Leg,Maximum Landing Weight (Kgs),Actual Landing Weight (Kgs),First Class Flown Passenger,Business Class Flown Passenger,Economy Class Flown Passenger,Total Male,Total Female,Total Children,Total Infants,Total Passenger Weight (Kgs),Total Compartment Weight (Kgs),Total Baggage Weight Leg (Kgs),Total Cargo Weight Leg (Kgs),Total Mail Weight Leg (Kgs),Total Engg Weight Leg (Kgs),Dry Operating Weight (Kgs),Cockpit Crew Count,Cabin Crew Count,First Class Non Revenue Passenger,Business Class Non Revenue Passenger,Economy Class Non Revenue Passenger,Dom Intl Flag
AI0010,2019-05-01,VTEXC,DEL,AMD,9840,12696,62500,52137,7950,62943,60087,3173,66000,56914,0,0,100,77,22,1,0,7460,2380,1136,1192,0,0,42297,2,4,0,0,0,D
AI0010,2019-05-02,VTEXE,DEL,AMD,10825,14611,62500,53293,7750,64829,61043,3179,66000,57864,0,0,120,90,24,6,0,8760,2065,1980,85,0,0,42468,2,4,0,0,3,D
AI0010,2019-05-03,VTPPF,DEL,AMD,7811,10669,71500,57167,9400,69425,66567,3705,75500,62862,0,0,87,68,16,3,1,6415,1396,1048,348,0,0,49356,2,5,0,0,1,D
AI0010,2019-05-04,VTEXE,DEL,AMD,8782,12668,62500,51250,7150,62286,58400,3113,66000,55287,0,0,101,83,15,3,1,7466,1316,1316,0,0,0,42468,2,4,0,0,2,D
AI0010,2019-05-05,VTEXE,DEL,AMD,15267,19074,62500,57735,7550,69092,65285,3270,66000,62015,0,0,176,129,42,5,2,13020,2247,2206,41,0,0,42468,2,4,0,0,0,D
AI0010,2019-05-06,VTEXE,DEL,AMD,9343,12025,62500,51906,7050,61638,58956,3004,66000,55952,0,0,98,74,21,3,1,7240,2103,1213,890,0,0,42563,2,5,0,0,0,D
AI0010,2019-05-07,VTEXD,DEL,AMD,8901,12415,62500,51312,7850,62676,59162,3085,66000,56077,0,0,99,63,31,5,2,7245,1656,1383,273,0,0,42411,2,4,0,0,3,D
AI0010,2019-05-08,VTPPV,DEL,AMD,9064,20272,71500,58275,9400,78883,67675,4059,75500,63616,0,1,100,78,20,3,3,7485,1579,1455,124,0,0,49211,2,5,0,0,1,D
AI0010,2019-05-09,VTEXA,DEL,AMD,12975,15613,62500,55289,8350,66277,63639,3343,66000,60296,0,0,144,112,24,8,1,10490,2485,2212,273,0,0,42314,2,4,0,0,1,D
AI0010,2019-05-10,VTEXE,DEL,AMD,8968,13141,62500,51436,7850,63459,59286,3198,66000,56088,0,0,100,64,34,2,1,7430,1538,,,,,42468,2,4,0,0,4,D
AI0010,2019-05-11,VTEXE,DEL,AMD,9423,14606,62500,51891,7150,64224,59041,3021,66000,56020,0,0,112,68,31,13,2,7900,1523,1506,17,0,0,42468,2,4,0,0,2,D
AI0010,2019-05-12,VTEXA,DEL,AMD,15383,19285,62500,57697,7550,69149,65247,3187,66000,62060,0,0,172,128,38,6,2,12680,2703,2422,281,0,0,42314,2,4,0,0,1,D
AI0010,2019-05-13,VTEXE,DEL,AMD,14916,18210,62500,57384,7850,68528,65234,3154,66000,62080,0,0,162,119,32,11,0,11710,3206,2408,798,0,0,42468,2,4,0,0,2,D
AI0010,2019-05-14,VTEXA,DEL,AMD,17622,18332,62500,59936,7950,68596,67886,3246,66000,64640,0,0,179,130,40,9,0,13065,4557,2696,1,1770,0,42314,2,4,0,0,4,D
AI0010,2019-05-15,VTEXD,DEL,AMD,15966,17747,62500,58377,8450,68608,66827,3304,66000,63523,0,0,165,111,46,8,1,12065,3901,2072,58,1771,0,42411,2,4,0,0,1,D
AI0010,2019-05-16,VTEXE,DEL,AMD,15057,17315,62500,57525,8850,68633,66375,3335,66000,63040,0,0,171,122,40,9,1,12475,2582,2435,147,0,0,42468,2,4,0,0,3,D
AI0010,2019-05-17,VTEXA,DEL,AMD,13790,18346,62500,56104,8150,68810,64254,3392,66000,60862,0,0,155,96,48,11,2,11205,2585,2246,339,0,0,42314,2,4,0,0,3,D
AI0010,2019-05-18,VTPPI,DEL,AMD,13322,17597,71500,62660,9300,76235,71960,3726,75500,68234,0,3,142,104,35,6,0,10635,2687,1920,767,0,0,49338,2,5,0,2,0,D
