Flt_No,Flt_Dt,AC_Reg,Dep_Stn,Arr_Stn,Pay_Max,Pay_Act,ZFW_Max,ZFW_Act,Take_Off_Fuel,TOW_Max,TOW_Act,Trip_Fuel,LW_Max,LW_Act,Pax_F,Pax_C,Pax_Y,Pax_Male,Pax_Female,Pax_Child,Pax_Infant,Pax_Load,Load_Comp,Bag_Load,Cargo_Load,Mail_Load,Engg_Load,Dry_Op_Wt,Cockpit_Crew,Cabin_Crew,Pad_F,Pad_C,Pad_Y,LDM_Dt,RMK,UndLoadBefLMC,ThruBagLoad,ThruCargoLoad,ThruMailLoad,Leg_No,Flt_No_Flt_Dt_Dep_Stn_Arr_Stn
9I0505,2019-04-01,VTAIW,BLR,COK,7201,3411,21000,17210,1900,23000,19110,725,22350,18385,0,0,42,27,14,1,0,3197,214,214,0,0,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050501/04/2019BLRCOK
9I0505,2019-04-01,VTAIW,COK,AGX,6401,4196,21000,17995,2800,23000,20795,800,22350,19995,0,0,46,31,14,1,1,3513,683,496,31,156,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050501/04/2019COKAGX
9I0505,2019-04-02,VTAIW,BLR,COK,7201,3816,21000,17615,1900,23000,19515,725,22350,18790,0,0,48,35,12,1,2,3580,236,230,6,0,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050502/04/2019BLRCOK
9I0505,2019-04-02,VTAIW,COK,AGX,6401,1855,21000,15654,2800,23000,18454,800,22350,17654,0,0,20,15,5,0,0,1500,355,125,160,70,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050502/04/2019COKAGX
9I0505,2019-04-03,VTAIW,BLR,COK,7201,3500,21000,17299,1900,23000,19199,725,22350,18474,0,0,43,31,11,1,1,3284,216,216,0,0,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050503/04/2019BLRCOK
9I0505,2019-04-03,VTAIW,COK,AGX,6401,3323,21000,17122,2800,23000,19922,800,22350,19122,0,0,37,24,11,2,0,2773,550,390,104,56,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050503/04/2019COKAGX
9I0505,2019-04-04,VTAIW,BLR,COK,7201,4284,21000,18083,2000,23000,20083,725,22350,19358,0,0,50,31,15,4,0,3590,694,694,0,0,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050504/04/2019BLRCOK
9I0505,2019-04-04,VTAIW,COK,AGX,6301,2995,21000,16794,2900,23000,19694,753,22350,18941,0,0,33,22,11,0,0,2475,520,317,122,81,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050504/04/2019COKAGX
9I0505,2019-04-05,VTAIW,BLR,COK,7201,3885,21000,17684,2000,23000,19684,725,22350,18959,0,0,51,29,18,4,3,3695,190,190,0,0,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050505/04/2019BLRCOK
9I0505,2019-04-05,VTAIW,COK,AGX,6201,2347,21000,16146,2900,22900,19046,753,22350,18293,0,0,26,18,8,0,1,1960,387,259,77,51,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050505/04/2019COKAGX
9I0505,2019-04-06,VTAIW,BLR,COK,7201,4947,21000,18746,1900,23000,20646,725,22350,19921,0,0,59,28,20,11,0,4136,811,811,0,0,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050506/04/2019BLRCOK
9I0505,2019-04-06,VTAIW,COK,AGX,6401,3905,21000,17704,2800,23000,20504,800,22350,19704,0,0,42,32,10,0,0,3232,673,552,56,65,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050506/04/2019COKAGX
9I0505,2019-04-07,VTAIW,BLR,COK,7201,3829,21000,17628,1900,23000,19528,725,22350,18803,0,0,47,30,16,1,2,3505,324,324,0,0,0,13799,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050507/04/2019BLRCOK
9I0505,2019-04-07,VTAIW,COK,AGX,6401,2505,21000,16304,2800,23000,19104,800,22350,18304,0,0,28,21,7,0,0,2100,405,217,158,30,0,13799,2,2,0,0,2,1900-01-01 00:00:00,   ,,,,,,9I050507/04/2019COKAGX
9I0505,2019-04-08,VTAIV,BLR,COK,7209,5483,21000,19274,1900,23000,21174,725,22350,20449,0,0,68,50,14,4,0,4940,543,543,0,0,0,13791,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050508/04/2019BLRCOK
9I0505,2019-04-08,VTAIV,COK,AGX,6409,4155,21000,17946,2800,23000,20746,753,22350,19993,0,0,48,30,16,2,0,3520,635,427,48,131,0,13791,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050508/04/2019COKAGX
9I0505,2019-04-09,VTAIV,BLR,COK,7009,3618,21000,17409,1900,22700,19309,725,22350,18584,0,0,42,23,11,8,1,2840,778,778,0,0,0,13791,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050509/04/2019BLRCOK
9I0505,2019-04-09,VTAIV,COK,AGX,6409,3524,21000,17315,2800,23000,20115,753,22350,19362,0,0,40,30,10,0,0,3000,524,329,127,43,0,13791,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050509/04/2019COKAGX
9I0505,2019-04-10,VTAIV,BLR,COK,7124,4028,21000,17904,2000,23000,19904,725,22350,19179,0,0,50,30,18,2,1,3680,348,348,0,0,0,13876,3,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050510/04/2019BLRCOK
