Flt_No,Flt_Dt,AC_Reg,Dep_Stn,Arr_Stn,Pay_Max,Pay_Act,ZFW_Max,ZFW_Act,Take_Off_Fuel,TOW_Max,TOW_Act,Trip_Fuel,LW_Max,LW_Act,Pax_F,Pax_C,Pax_Y,Pax_Male,Pax_Female,Pax_Child,Pax_Infant,Pax_Load,Load_Comp,Bag_Load,Cargo_Load,Mail_Load,Engg_Load,Dry_Op_Wt,Cockpit_Crew,Cabin_Crew,Pad_F,Pad_C,Pad_Y,LDM_Dt,RMK,UndLoadBefLMC,ThruBagLoad,ThruCargoLoad,ThruMailLoad,Leg_No,Flt_No_Flt_Dt_Dep_Stn_Arr_Stn
9I0505,2019-05-01,VTRKF,BLR,COK,7189,5342,21000,19153,2000,23000,21153,725,22350,20428,0,0,67,40,27,0,1,5035,307,307,0,0,0,13811,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050501/05/2019BLRCOK
9I0505,2019-05-01,VTRKF,COK,AGX,6389,4845,21000,18656,2800,23000,21456,800,22350,20656,0,0,58,43,12,3,1,4240,605,392,82,49,0,13811,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050501/05/2019COKAGX
9I0505,2019-05-02,VTRKF,BLR,COK,7189,4981,21000,18792,1900,23000,20692,725,22350,19967,0,0,59,35,22,2,0,4469,512,512,0,0,0,13811,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050502/05/2019BLRCOK
9I0505,2019-05-02,VTRKF,COK,AGX,6389,5001,21000,18812,2800,23000,21612,800,22350,20812,0,0,59,38,17,4,0,4382,619,358,173,59,0,13811,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050502/05/2019COKAGX
9I0505,2019-05-03,VTRKF,BLR,COK,7189,4698,21000,18509,1900,23000,20409,725,22350,19684,0,0,59,42,15,2,0,4345,353,353,0,0,0,13811,2,2,0,0,5,1900-01-01 00:00:00,   ,,,,,,9I050503/05/2019BLRCOK
9I0505,2019-05-03,VTRKF,COK,AGX,6389,5100,21000,18911,2800,23000,21711,800,22350,20911,0,0,58,41,17,0,1,4360,740,524,169,18,0,13811,2,2,0,0,6,1900-01-01 00:00:00,   ,,,,,,9I050503/05/2019COKAGX
9I0505,2019-05-04,VTRKF,BLR,COK,7189,4985,21000,18796,1900,23000,20696,725,22350,19971,0,0,65,38,23,4,0,4715,270,270,0,0,0,13811,2,2,0,0,2,1900-01-01 00:00:00,   ,,,,,,9I050504/05/2019BLRCOK
9I0505,2019-05-04,VTRKF,COK,AGX,6389,4628,21000,18439,2800,23000,21239,800,22350,20439,0,0,57,28,23,6,1,4045,583,435,69,64,0,13811,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050504/05/2019COKAGX
9I0505,2019-05-05,VTRKF,BLR,COK,7189,4672,21000,18483,1900,23000,20383,725,22350,19658,0,0,59,34,21,4,1,4275,397,397,0,0,0,13811,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050505/05/2019BLRCOK
9I0505,2019-05-05,VTRKF,COK,AGX,6389,5134,21000,18945,2800,23000,21745,800,22350,20945,0,0,62,35,20,7,1,4380,754,581,128,13,0,13811,2,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050505/05/2019COKAGX
9I0505,2019-05-06,VTRKF,BLR,COK,7104,5034,21000,18930,2000,23000,20930,725,22350,20205,0,0,64,38,20,6,2,4726,308,308,0,0,0,13896,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050506/05/2019BLRCOK
9I0505,2019-05-07,VTRKF,BLR,COK,7104,5314,21000,19210,2000,23000,21210,725,22350,20485,0,0,67,49,16,2,2,4965,349,349,0,0,0,13896,3,2,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050507/05/2019BLRCOK
9I0505,2019-05-07,VTRKF,COK,AGX,6219,4706,21000,18687,2800,23000,21487,753,22350,20734,0,0,55,36,16,3,1,4015,691,543,62,86,0,13981,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050507/05/2019COKAGX
9I0505,2019-05-08,VTRKF,BLR,COK,7104,4817,21000,18713,2000,23000,20713,725,22350,19988,0,0,60,37,20,3,0,4509,308,308,0,0,0,13896,3,2,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050508/05/2019BLRCOK
9I0505,2019-05-08,VTRKF,COK,AGX,6219,4249,21000,18230,2800,23000,21030,759,22350,20271,0,0,48,28,18,2,3,3652,597,438,132,27,0,13981,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050508/05/2019COKAGX
9I0505,2019-05-09,VTRKF,BLR,COK,7104,5330,21000,19226,2000,23000,21226,725,22350,20501,0,0,65,42,20,3,0,4755,575,575,0,0,0,13896,3,3,0,0,2,1900-01-01 00:00:00,   ,,,,,,9I050509/05/2019BLRCOK
9I0505,2019-05-09,VTRKF,COK,AGX,6219,4760,21000,18741,2800,23000,21541,759,22350,20782,0,0,56,42,14,0,0,4200,560,383,6,29,0,13981,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050509/05/2019COKAGX
9I0505,2019-05-10,VTRKF,BLR,COK,7104,5345,21000,19241,2000,23000,21241,725,22350,20516,0,0,67,41,21,5,0,4825,520,520,0,0,0,13896,3,3,0,0,7,1900-01-01 00:00:00,   ,,,,,,9I050510/05/2019BLRCOK
9I0505,2019-05-10,VTRKF,COK,AGX,6319,4979,21000,18960,2700,23000,21660,755,22350,20905,0,0,58,28,25,5,2,4170,809,546,148,62,0,13981,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050510/05/2019COKAGX
9I0505,2019-05-11,VTRKF,BLR,COK,7189,5826,21000,19637,1900,23000,21537,725,22350,20812,0,0,68,51,16,1,1,5209,617,617,0,0,0,13811,2,2,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050511/05/2019BLRCOK
9I0505,2019-05-11,VTRKF,COK,AGX,6304,4605,21000,18501,2800,23000,21301,800,22350,20501,0,0,53,38,14,1,0,4044,561,507,13,33,0,13896,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050511/05/2019COKAGX
9I0505,2019-05-12,VTRKF,BLR,COK,7104,4672,21000,18568,2000,23000,20568,725,22350,19843,0,0,56,44,11,1,0,4275,397,397,0,0,0,13896,3,2,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050512/05/2019BLRCOK
9I0505,2019-05-12,VTRKF,COK,AGX,6304,4778,21000,18674,2800,23000,21474,800,22350,20674,0,0,55,42,11,2,1,4171,607,510,84,13,0,13896,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050512/05/2019COKAGX
9I0505,2019-05-13,VTRKF,BLR,COK,7004,4655,21000,18551,2100,23000,20651,725,22350,19926,0,0,58,40,15,3,1,4365,290,290,0,0,0,13896,3,2,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050513/05/2019BLRCOK
9I0505,2019-05-13,VTRKF,COK,AGX,6304,4552,21000,18448,2800,23000,21248,800,22350,20448,0,0,53,35,17,1,0,4044,508,385,0,84,0,13896,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050513/05/2019COKAGX
9I0505,2019-05-14,VTRKF,BLR,COK,7104,5144,21000,19040,2000,23000,21040,725,22350,20315,0,0,64,45,18,1,0,4760,384,384,0,0,0,13896,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050514/05/2019BLRCOK
9I0505,2019-05-14,VTRKF,COK,AGX,6219,4195,21000,18176,2800,23000,20976,753,22350,20223,0,0,50,32,16,2,1,3680,515,431,27,57,0,13981,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050514/05/2019COKAGX
9I0505,2019-05-15,VTRKF,BLR,COK,7104,4593,21000,18489,2000,23000,20489,725,22350,19764,0,0,57,32,21,4,1,4125,468,468,0,0,0,13896,3,3,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050515/05/2019BLRCOK
9I0505,2019-05-15,VTRKF,COK,AGX,6219,3810,21000,17791,2800,23000,20591,759,22350,19832,0,0,45,23,18,4,0,3215,595,459,52,56,0,13981,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050515/05/2019COKAGX
9I0505,2019-05-16,VTRKF,BLR,COK,7104,5637,21000,19533,2000,23000,21533,725,22350,20808,0,0,67,42,21,4,0,5011,626,626,0,0,0,13896,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050516/05/2019BLRCOK
9I0505,2019-05-16,VTRKF,COK,AGX,6219,2505,21000,16486,2800,23000,19286,759,22350,18527,0,0,28,18,10,0,0,2156,349,255,10,84,0,13981,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050516/05/2019COKAGX
9I0505,2019-05-17,VTRKF,BLR,COK,7189,4766,21000,18577,2000,23000,20577,725,22350,19852,0,0,59,40,15,4,0,4395,371,371,0,0,0,13811,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050517/05/2019BLRCOK
9I0505,2019-05-17,VTRKF,COK,AGX,6304,3760,21000,17656,2800,23000,20456,753,22350,19703,0,0,45,33,10,2,0,3391,369,282,48,39,0,13896,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050517/05/2019COKAGX
9I0505,2019-05-18,VTRKF,BLR,COK,7189,4457,21000,18268,2000,23000,20268,725,22350,19543,0,0,55,37,16,2,1,4171,286,286,0,0,0,13811,2,3,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050518/05/2019BLRCOK
9I0505,2019-05-18,VTRKF,COK,AGX,6304,3392,21000,17288,2800,23000,20088,753,22350,19335,0,0,38,29,7,2,1,2862,530,369,70,76,0,13896,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050518/05/2019COKAGX
9I0505,2019-05-19,VTRKF,BLR,COK,7104,4173,21000,18069,2000,23000,20069,725,22350,19344,0,0,52,29,19,4,1,3866,307,307,0,0,0,13896,3,2,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050519/05/2019BLRCOK
9I0505,2019-05-19,VTRKF,COK,AGX,6304,4274,21000,18170,2800,23000,20970,753,22350,20217,0,0,48,36,11,1,2,3677,597,467,95,19,0,13896,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050519/05/2019COKAGX
9I0505,2019-05-20,VTRKF,BLR,COK,7104,3504,21000,17400,2000,23000,19400,725,22350,18675,0,0,45,32,11,2,2,3315,189,189,0,0,0,13896,3,2,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050520/05/2019BLRCOK
9I0505,2019-05-20,VTRKF,COK,AGX,6304,2917,21000,16813,2800,23000,19613,753,22350,18860,0,0,32,23,8,1,2,2380,537,351,138,48,0,13896,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050520/05/2019COKAGX
9I0505,2019-05-21,VTRKF,BLR,COK,7104,4480,21000,18376,2000,23000,20376,725,22350,19651,0,0,56,40,16,0,0,4200,280,280,0,0,0,13896,3,3,0,0,3,1900-01-01 00:00:00,   ,,,,,,9I050521/05/2019BLRCOK
9I0505,2019-05-21,VTRKF,COK,AGX,6219,4828,21000,18809,2800,23000,21609,760,22350,20849,0,0,56,38,16,2,2,4140,688,616,14,50,0,13981,3,3,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050521/05/2019COKAGX
9I0505,2019-05-22,VTRKF,BLR,COK,7104,3916,21000,17812,2000,23000,19812,725,22350,19087,0,0,50,36,11,3,3,3660,256,256,0,0,0,13896,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050522/05/2019BLRCOK
9I0505,2019-05-22,VTRKF,COK,AGX,6219,4584,21000,18565,2800,23000,21365,760,22350,20605,0,0,53,38,12,3,1,3865,719,548,66,105,0,13981,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050522/05/2019COKAGX
9I0505,2019-05-23,VTAIZ,BLR,COK,7068,3289,21000,17221,2000,23000,19221,725,22350,18496,0,0,40,31,9,0,0,3000,289,289,0,0,0,13932,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050523/05/2019BLRCOK
9I0505,2019-05-23,VTAIZ,COK,AGX,6183,2691,21000,16708,2800,23000,19508,760,22350,18748,0,0,30,22,5,3,1,2140,551,381,91,79,0,14017,3,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050523/05/2019COKAGX
9I0505,2019-05-24,VTAIZ,BLR,COK,7068,4398,21000,18330,1900,23000,20230,725,22350,19505,0,0,56,38,15,3,0,4080,318,283,35,0,0,13932,3,2,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050524/05/2019BLRCOK
9I0505,2019-05-25,VTAIZ,BLR,COK,7053,4615,21000,18462,2100,23000,20562,725,22350,19837,0,0,56,36,19,1,0,4160,455,455,0,0,0,13847,2,3,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050525/05/2019BLRCOK
9I0505,2019-05-25,VTAIZ,COK,AGX,6268,1761,21000,15693,2800,23000,18493,800,22350,17693,0,0,19,14,5,0,0,1425,336,134,132,70,0,13932,2,3,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050525/05/2019COKAGX
9I0505,2019-05-26,VTAIZ,BLR,COK,7153,3723,21000,17570,2000,23000,19570,725,22350,18845,0,0,48,26,20,2,0,3520,203,203,0,0,0,13847,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050526/05/2019BLRCOK
9I0505,2019-05-26,VTAIZ,COK,AGX,6268,2721,21000,16653,2800,23000,19453,800,22350,18653,0,0,33,27,5,1,0,2435,286,270,12,4,0,13932,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050526/05/2019COKAGX
9I0505,2019-05-27,VTAIZ,BLR,COK,7153,3859,21000,17706,2000,23000,19706,725,22350,18981,0,0,48,39,8,1,0,3659,200,200,0,0,0,13847,2,3,0,0,1,1900-01-01 00:00:00,   ,,,,,,9I050527/05/2019BLRCOK
9I0505,2019-05-27,VTAIZ,COK,AGX,6268,3895,21000,17827,2800,23000,20627,800,22350,19827,0,0,43,27,14,2,1,3247,648,336,205,100,0,13932,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050527/05/2019COKAGX
9I0505,2019-05-28,VTAIZ,BLR,COK,7068,4709,21000,18641,2000,23000,20641,725,22350,19916,0,0,57,38,17,2,0,4195,514,514,0,0,0,13932,3,2,0,0,2,1900-01-01 00:00:00,   ,,,,,,9I050528/05/2019BLRCOK
9I0505,2019-05-28,VTAIZ,COK,AGX,6268,2700,21000,16632,2800,23000,19432,800,22350,18632,0,0,29,17,10,2,0,2095,605,304,260,41,0,13932,2,3,0,0,0,1900-01-01 00:00:00,   ,,,,,,9I050528/05/2019COKAGX
